time_period,seb,sample_size,value,sex,category_type,category,ind_code,ind_name,age,area_type,area_code,area_name,lci,uci,se,category_type2,category2,unit,value_note,Quintile,ethnicity
202223,Eligible for free school meals,38198,41.6,Boys,Ethnicity,White,IN11,Level of development at age 5,5,Country,E92000001,England,NA,NA,NA,NA,NA,Percentage,NA,NA,White
202223,Eligible for free school meals,5391,48.1,Boys,Ethnicity,Mixed/multiple ethnic groups,IN11,Level of development at age 5,5,Country,E92000001,England,NA,NA,NA,NA,NA,Percentage,NA,NA,Mixed
202223,Eligible for free school meals,4673,50.2,Boys,Ethnicity,Asian/Asian British,IN11,Level of development at age 5,5,Country,E92000001,England,NA,NA,NA,NA,NA,Percentage,NA,NA,Asian
202223,Eligible for free school meals,4228,49.9,Boys,Ethnicity,Black/African/Caribbean/Black British,IN11,Level of development at age 5,5,Country,E92000001,England,NA,NA,NA,NA,NA,Percentage,NA,NA,Black
202223,Eligible for free school meals,1845,44.1,Boys,Ethnicity,Other ethnic group,IN11,Level of development at age 5,5,Country,E92000001,England,NA,NA,NA,NA,NA,Percentage,NA,NA,Other
