Age (years),Lower working,,Higher working,,Intermediate,,Lower professional,,Higher professional,
,Men (%),Women (%),Men (%),Women (%),Men (%),Women (%),Men (%),Women (%),Men (%),Women (%)
25,20626.05101,12695.50285,21632.18381,14881.87797,24431.60008,16248.44621,26705.99762,18797.93792,29670.19301,22093.95961
26,21985.81433,13970.09727,23184.31115,16153.43309,25982.0391,17577.73635,28523.16304,20233.0734,31522.81788,23597.75869
27,23253.5111,15149.58055,24644.37194,17329.87707,27440.41157,18811.91537,30248.26191,21573.09774,33283.37621,25006.44665
28,24429.14133,16233.95271,26012.36618,18411.20992,28806.71749,19950.98326,31881.29424,22818.01095,34951.86799,26320.02348
29,25512.705,17223.21374,27288.29387,19397.43164,30080.95686,20994.94002,33422.26001,23967.81303,36528.29321,27538.48918
30,26504.20212,18117.36364,28472.15501,20288.54224,31263.12968,21943.78565,34871.15923,25022.50399,38012.65189,28661.84375
31,27403.63269,18916.40241,29563.9496,21084.5417,32353.23595,22797.52014,36227.9919,25982.08381,39404.94402,29690.08719
32,28210.99671,19620.33004,30563.67764,21785.43003,33351.27567,23556.14351,37492.75802,26846.5525,40705.16959,30623.2195
33,28926.29418,20229.14655,31471.33913,22391.20724,34257.24884,24219.65576,38665.45759,27615.91007,41913.32862,31461.24068
34,29549.5251,20742.85193,32286.93407,22901.87331,35071.15546,24788.05687,39746.09062,28290.1565,43029.42109,32204.15073
35,30080.68947,21161.44619,33010.46245,23317.42826,35792.99553,25261.34685,40734.65709,28869.29181,44053.44702,32851.94965
36,30519.78729,21484.92931,33641.92429,23637.87208,36422.76905,25639.5257,41631.15701,29353.31599,44985.40639,33404.63744
37,30866.81855,21713.3013,34181.31958,23863.20476,36960.47601,25922.59342,42435.59037,29742.22903,45825.29922,33862.21411
38,31121.78327,21846.56216,34628.64832,23993.42632,37406.11643,26110.55001,43147.95719,30036.03095,46573.12549,34224.67964
39,31284.68144,21884.71189,34983.9105,24028.53675,37759.6903,26203.39548,43768.25746,30234.72174,47228.88521,34492.03404
40,31355.51306,21827.7505,35247.10614,23968.53605,38021.19761,26201.12981,44296.49118,30338.3014,47792.57838,34664.27732
41,31334.27812,21675.67797,35418.23522,23813.42422,38190.63838,26103.75302,44732.65835,30346.76993,48264.20501,34741.40946
42,31220.97664,21428.49432,35497.29776,23563.20126,38268.01259,25911.26509,45076.75897,30260.12733,48643.76508,34723.43048
43,31015.60861,21086.19953,35484.29374,23217.86717,38253.32026,25623.66604,45328.79303,30078.3736,48931.2586,34610.34036
44,30718.17402,20648.79362,35379.22318,22777.42195,38146.56137,25240.95585,45488.76055,29801.50874,49126.68557,34402.13912
