Ethnicity,Lower working (%),Higher professional (%)
Bangladeshi,20.75894954,54.69259306
Chinese,24.30373976,59.66861608
Indian,30.78802806,67.21062569
Pakistani,16.79319039,48.18627274
Black African,22.15587259,56.73798489
Black Caribbean,23.44498744,58.52642538
Mixed,26.46434975,62.38220838
White British,23.81190318,59.01910282
White other,20.38869967,54.13055356
Other,19.6095483,52.91907626
