"Survey period","Age (years)","Lower working","","Higher working","","Intermediate","","Lower professional","","Higher professional",""
"","","Men (£)","Women (£)","Men (£)","Women (£)","Men (£)","Women (£)","Men (£)","Women (£)","Men (£)","Women (£)"
"2023 to 2025","25","23545.123","15651.732","28237.577","24034.963","32467.271","21586.628","32406.161","23082.697","38463.524","25838.145"
"","26","25533.772","17672.114","30305.867","25673.247","34118.529","23685.457","34439.087","25003.286","40458.974","28245.381"
"","27","27402.835","19543.204","32254.571","27162.238","35650.199","25634.992","36352.425","26774.582","42334.836","30503.324"
"","28","29152.31","21265.001","34083.688","28501.937","37062.282","27435.236","38146.176","28396.586","44091.112","32611.975"
"","29","30782.199","22837.506","35793.217","29692.344","38354.779","29086.187","39820.34","29869.297","45727.8","34571.334"
"","30","32292.5","24260.718","37383.159","30733.458","39527.688","30587.846","41374.917","31192.716","47244.902","36381.4"
"","31","33683.214","25534.638","38853.515","31625.279","40581.01","31940.212","42809.907","32366.843","48642.416","38042.173"
"","32","34954.341","26659.266","40204.283","32367.809","41514.745","33143.285","44125.31","33391.677","49920.343","39553.655"
"","33","36105.881","27634.601","41435.464","32961.045","42328.893","34197.067","45321.126","34267.219","51078.683","40915.843"
"","34","37137.834","28460.643","42547.058","33404.99","43023.454","35101.556","46397.355","34993.468","52117.436","42128.74"
"","35","38050.2","29137.394","43539.065","33699.642","43598.428","35856.752","47353.996","35570.425","53036.602","43192.344"
"","36","38842.979","29664.851","44411.485","33845.001","44053.815","36462.656","48191.051","35998.089","53836.181","44106.655"
"","37","39516.171","30043.017","45164.318","33841.068","44389.614","36919.268","48908.518","36276.461","54516.173","44871.674"
"","38","40069.776","30271.889","45797.564","33687.843","44605.827","37226.587","49506.399","36405.541","55076.578","45487.401"
"","39","40503.793","30351.47","46311.223","33385.325","44702.453","37384.614","49984.692","36385.328","55517.395","45953.835"
"","40","40818.224","30281.758","46705.294","32933.515","44679.491","37393.348","50343.398","36215.822","55838.626","46270.977"
"","41","41013.067","30062.754","46979.779","32332.413","44536.943","37252.79","50582.518","35897.025","56040.269","46438.826"
"","42","41088.323","29694.457","47134.676","31582.017","44274.807","36962.939","50702.05","35428.934","56122.326","46457.383"
"","43","41043.993","29176.867","47169.987","30682.33","43893.084","36523.796","50701.995","34811.552","56084.795","46326.648"
"","44","40880.075","28509.986","47085.71","29633.35","43391.774","35935.361","50582.353","34044.877","55927.677","46046.62"
"2014 to 2016","25","21479.698","14801.109","25108.734","15469.627","25202.015","17466.637","30832.294","20642.505","35574.926","23507.323"
"","26","23028.549","16044.663","26819.6","16814.695","27000.703","18885.764","32847.318","22193.25","37631.194","25179.969"
"","27","24487.452","17200.153","28440.518","18071.7","28709.444","20216.827","34772.395","23655.931","39597.513","26764.551"
"","28","25856.407","18267.579","29971.488","19240.641","30328.235","21459.826","36607.523","25030.548","41473.884","28261.069"
"","29","27135.414","19246.941","31412.509","20321.518","31857.079","22614.762","38352.703","26317.101","43260.307","29669.523"
"","30","28324.472","20138.239","32763.583","21314.331","33295.975","23681.634","40007.934","27515.59","44956.781","30989.914"
"","31","29423.583","20941.474","34024.708","22219.08","34644.922","24660.442","41573.218","28626.016","46563.307","32222.24"
"","32","30432.745","21656.645","35195.885","23035.766","35903.921","25551.186","43048.553","29648.378","48079.886","33366.504"
"","33","31351.959","22283.752","36277.113","23764.388","37072.972","26353.867","44433.94","30582.677","49506.516","34422.703"
"","34","32181.225","22822.796","37268.394","24404.946","38152.075","27068.484","45729.379","31428.911","50843.198","35390.838"
"","35","32920.542","23273.775","38169.726","24957.441","39141.23","27695.037","46934.87","32187.082","52089.931","36270.91"
"","36","33569.912","23636.691","38981.11","25421.871","40040.436","28233.526","48050.413","32857.189","53246.717","37062.918"
"","37","34129.333","23911.544","39702.546","25798.238","40849.694","28683.952","49076.007","33439.232","54313.554","37766.863"
"","38","34598.806","24098.332","40334.034","26086.542","41569.004","29046.314","50011.653","33933.212","55290.443","38382.743"
"","39","34978.331","24197.057","40875.574","26286.781","42198.366","29320.612","50857.351","34339.128","56177.384","38910.56"
"","40","35267.908","24207.718","41327.165","26398.957","42737.78","29506.847","51613.101","34656.98","56974.377","39350.313"
"","41","35467.536","24130.315","41688.809","26423.069","43187.245","29605.017","52278.903","34886.768","57681.421","39702.003"
"","42","35577.216","23964.849","41960.504","26359.117","43546.763","29615.124","52854.756","35028.493","58298.517","39965.628"
"","43","35596.949","23711.318","42142.251","26207.102","43816.332","29537.167","53340.662","35082.153","58825.666","40141.19"
"","44","35526.733","23369.724","42234.049","25967.022","43995.953","29371.147","53736.619","35047.751","59262.866","40228.688"
