"Year","Business expenditure on R&D (£billions)"
"2023",49.973
"2022",51.553
"2021",53.359
"2020",49.731
"2019",50.242
"2018",49.981
"2017",46.48
"2016",45.037
"2015",42.869
"2014",41.049
