"measure_code","measure_title","chart_type","area_code","area_type","area_name","primary_split_type","primary_split_value","secondary_split_type","secondary_split_value","tertiary_split_type","tertiary_split_value","fourth_split_type","fourth_split_value","time_period","value","lci","uci","sample_size","unit","value_note","variable_used","weight_used","age_used","year_used","label"
"in23","Highest qualification","trend_moving_average","K02000001","country","United Kingdom","year","2018","seb","Higher working","highest_qualification","higher",NA,NA,"2014-2025",5.764,"4.244","7.740","697","Average","3-year moving average","seb","rweight","25-29","2014-2025","6%"
"in23","Highest qualification","trend_moving_average","K02000001","country","United Kingdom","year","2018","seb","Intermediate","highest_qualification","higher",NA,NA,"2014-2025",10.562,"8.636","12.923","775","Average","3-year moving average","seb","rweight","25-29","2014-2025","11%"
"in23","Highest qualification","trend_moving_average","K02000001","country","United Kingdom","year","2018","seb","Lower professional","highest_qualification","higher",NA,NA,"2014-2025",16.559,"14.014","19.446","677","Average","3-year moving average","seb","rweight","25-29","2014-2025","17%"
"in23","Highest qualification","trend_moving_average","K02000001","country","United Kingdom","year","2018","seb","Higher professional","highest_qualification","higher",NA,NA,"2014-2025",23.579,"20.479","27.149","561","Average","3-year moving average","seb","rweight","25-29","2014-2025","24%"
"in23","Highest qualification","trend_moving_average","K02000001","country","United Kingdom","year","2019","seb","Lower working","highest_qualification","higher",NA,NA,"2014-2025",5.489,"4.035","7.535","666","Average","3-year moving average","seb","rweight","25-29","2014-2025","5%"
"in23","Highest qualification","trend_moving_average","K02000001","country","United Kingdom","year","2019","seb","Higher working","highest_qualification","higher",NA,NA,"2014-2025",6.03,"4.440","8.149","636","Average","3-year moving average","seb","rweight","25-29","2014-2025","6%"
"in23","Highest qualification","trend_moving_average","K02000001","country","United Kingdom","year","2019","seb","Intermediate","highest_qualification","higher",NA,NA,"2014-2025",10.847,"8.834","13.124","762","Average","3-year moving average","seb","rweight","25-29","2014-2025","11%"
"in23","Highest qualification","trend_moving_average","K02000001","country","United Kingdom","year","2019","seb","Lower professional","highest_qualification","higher",NA,NA,"2014-2025",17.399,"14.898","20.331","685","Average","3-year moving average","seb","rweight","25-29","2014-2025","17%"
"in23","Highest qualification","trend_moving_average","K02000001","country","United Kingdom","year","2019","seb","Higher professional","highest_qualification","higher",NA,NA,"2014-2025",24.344,"21.123","27.702","574","Average","3-year moving average","seb","rweight","25-29","2014-2025","24%"
"in23","Highest qualification","trend_moving_average","K02000001","country","United Kingdom","year","2020","seb","Lower working","highest_qualification","higher",NA,NA,"2014-2025",6.332,"4.614","8.462","546","Average","3-year moving average","seb","rweight","25-29","2014-2025","6%"
"in23","Highest qualification","trend_moving_average","K02000001","country","United Kingdom","year","2020","seb","Higher working","highest_qualification","higher",NA,NA,"2014-2025",6.727,"4.985","8.940","542","Average","3-year moving average","seb","rweight","25-29","2014-2025","7%"
"in23","Highest qualification","trend_moving_average","K02000001","country","United Kingdom","year","2020","seb","Intermediate","highest_qualification","higher",NA,NA,"2014-2025",12.182,"10.049","14.671","653","Average","3-year moving average","seb","rweight","25-29","2014-2025","12%"
"in23","Highest qualification","trend_moving_average","K02000001","country","United Kingdom","year","2020","seb","Lower professional","highest_qualification","higher",NA,NA,"2014-2025",17.544,"15.000","20.289","631","Average","3-year moving average","seb","rweight","25-29","2014-2025","18%"
"in23","Highest qualification","trend_moving_average","K02000001","country","United Kingdom","year","2020","seb","Higher professional","highest_qualification","higher",NA,NA,"2014-2025",24.523,"21.408","27.883","528","Average","3-year moving average","seb","rweight","25-29","2014-2025","25%"
"in23","Highest qualification","trend_moving_average","K02000001","country","United Kingdom","year","2021","seb","Lower working","highest_qualification","higher",NA,NA,"2014-2025",7.12,"5.307","9.384","505","Average","3-year moving average","seb","rweight","25-29","2014-2025","7%"
"in23","Highest qualification","trend_moving_average","K02000001","country","United Kingdom","year","2021","seb","Higher working","highest_qualification","higher",NA,NA,"2014-2025",8.661,"6.666","11.280","469","Average","3-year moving average","seb","rweight","25-29","2014-2025","9%"
"in23","Highest qualification","trend_moving_average","K02000001","country","United Kingdom","year","2021","seb","Intermediate","highest_qualification","higher",NA,NA,"2014-2025",12.638,"10.483","15.147","642","Average","3-year moving average","seb","rweight","25-29","2014-2025","13%"
"in23","Highest qualification","trend_moving_average","K02000001","country","United Kingdom","year","2021","seb","Lower professional","highest_qualification","higher",NA,NA,"2014-2025",18.934,"16.373","21.867","613","Average","3-year moving average","seb","rweight","25-29","2014-2025","19%"
"in23","Highest qualification","trend_moving_average","K02000001","country","United Kingdom","year","2021","seb","Higher professional","highest_qualification","higher",NA,NA,"2014-2025",25.628,"22.590","29.026","545","Average","3-year moving average","seb","rweight","25-29","2014-2025","26%"
"in23","Highest qualification","trend_moving_average","K02000001","country","United Kingdom","year","2022","seb","Lower working","highest_qualification","higher",NA,NA,"2014-2025",7.069,"5.225","9.424","414","Average","3-year moving average","seb","rweight","25-29","2014-2025","7%"
"in23","Highest qualification","trend_moving_average","K02000001","country","United Kingdom","year","2022","seb","Higher working","highest_qualification","higher",NA,NA,"2014-2025",9.706,"7.534","12.531","382","Average","3-year moving average","seb","rweight","25-29","2014-2025","10%"
"in23","Highest qualification","trend_moving_average","K02000001","country","United Kingdom","year","2022","seb","Intermediate","highest_qualification","higher",NA,NA,"2014-2025",14.883,"12.488","17.532","550","Average","3-year moving average","seb","rweight","25-29","2014-2025","15%"
"in23","Highest qualification","trend_moving_average","K02000001","country","United Kingdom","year","2022","seb","Lower professional","highest_qualification","higher",NA,NA,"2014-2025",20.551,"17.862","23.479","551","Average","3-year moving average","seb","rweight","25-29","2014-2025","21%"
"in23","Highest qualification","trend_moving_average","K02000001","country","United Kingdom","year","2022","seb","Higher professional","highest_qualification","higher",NA,NA,"2014-2025",24.382,"21.387","27.674","498","Average","3-year moving average","seb","rweight","25-29","2014-2025","24%"
"in23","Highest qualification","trend_moving_average","K02000001","country","United Kingdom","year","2023","seb","Lower working","highest_qualification","higher",NA,NA,"2014-2025",5.49,"3.923","7.659","365","Average","3-year moving average","seb","rweight","25-29","2014-2025","5%"
"in23","Highest qualification","trend_moving_average","K02000001","country","United Kingdom","year","2023","seb","Higher working","highest_qualification","higher",NA,NA,"2014-2025",12.935,"10.306","16.160","311","Average","3-year moving average","seb","rweight","25-29","2014-2025","13%"
"in23","Highest qualification","trend_moving_average","K02000001","country","United Kingdom","year","2023","seb","Intermediate","highest_qualification","higher",NA,NA,"2014-2025",15.336,"12.863","18.018","490","Average","3-year moving average","seb","rweight","25-29","2014-2025","15%"
"in23","Highest qualification","trend_moving_average","K02000001","country","United Kingdom","year","2023","seb","Lower professional","highest_qualification","higher",NA,NA,"2014-2025",23.41,"20.482","26.665","452","Average","3-year moving average","seb","rweight","25-29","2014-2025","23%"
"in23","Highest qualification","trend_moving_average","K02000001","country","United Kingdom","year","2023","seb","Higher professional","highest_qualification","higher",NA,NA,"2014-2025",25.72,"22.530","29.069","426","Average","3-year moving average","seb","rweight","25-29","2014-2025","26%"
"in23","Highest qualification","trend_moving_average","K02000001","country","United Kingdom","year","2024","seb","Lower working","highest_qualification","higher",NA,NA,"2014-2025",5.709,"4.102","7.925","310","Average","3-year moving average","seb","rweight","25-29","2014-2025","6%"
"in23","Highest qualification","trend_moving_average","K02000001","country","United Kingdom","year","2024","seb","Higher working","highest_qualification","higher",NA,NA,"2014-2025",14.78,"12.018","18.258","267","Average","3-year moving average","seb","rweight","25-29","2014-2025","15%"
"in23","Highest qualification","trend_moving_average","K02000001","country","United Kingdom","year","2024","seb","Intermediate","highest_qualification","higher",NA,NA,"2014-2025",15.522,"13.099","18.288","425","Average","3-year moving average","seb","rweight","25-29","2014-2025","16%"
"in23","Highest qualification","trend_moving_average","K02000001","country","United Kingdom","year","2024","seb","Lower professional","highest_qualification","higher",NA,NA,"2014-2025",22.86,"19.914","26.012","394","Average","3-year moving average","seb","rweight","25-29","2014-2025","23%"
"in23","Highest qualification","trend_moving_average","K02000001","country","United Kingdom","year","2024","seb","Higher professional","highest_qualification","higher",NA,NA,"2014-2025",25.262,"22.011","28.635","357","Average","3-year moving average","seb","rweight","25-29","2014-2025","25%"
"in23","Highest qualification","trend_moving_average","K02000001","country","United Kingdom","year","2025","seb","Lower working","highest_qualification","higher",NA,NA,"2014-2025",7.131,"5.381","9.511","340","Average","3-year moving average","seb","rweight","25-29","2014-2025","7%"
"in23","Highest qualification","trend_moving_average","K02000001","country","United Kingdom","year","2025","seb","Higher working","highest_qualification","higher",NA,NA,"2014-2025",14.737,"12.016","18.160","293","Average","3-year moving average","seb","rweight","25-29","2014-2025","15%"
"in23","Highest qualification","trend_moving_average","K02000001","country","United Kingdom","year","2025","seb","Intermediate","highest_qualification","higher",NA,NA,"2014-2025",16.94,"14.439","19.702","466","Average","3-year moving average","seb","rweight","25-29","2014-2025","17%"
"in23","Highest qualification","trend_moving_average","K02000001","country","United Kingdom","year","2025","seb","Lower professional","highest_qualification","higher",NA,NA,"2014-2025",22.211,"19.343","25.294","435","Average","3-year moving average","seb","rweight","25-29","2014-2025","22%"
"in23","Highest qualification","trend_moving_average","K02000001","country","United Kingdom","year","2025","seb","Higher professional","highest_qualification","higher",NA,NA,"2014-2025",26.786,"23.602","30.250","399","Average","3-year moving average","seb","rweight","25-29","2014-2025","27%"
"in23","Highest qualification","trend_moving_average","K02000001","country","United Kingdom","year","2016","seb","Total","highest_qualification","higher",NA,NA,"2014-2025",10.947,"9.977","12.021","3684","Average","3-year moving average","seb","rweight","25-29","2014-2025","11%"
"in23","Highest qualification","trend_moving_average","K02000001","country","United Kingdom","year","2017","seb","Total","highest_qualification","higher",NA,NA,"2014-2025",12.012,"10.998","13.100","3594","Average","3-year moving average","seb","rweight","25-29","2014-2025","12%"
"in23","Highest qualification","trend_moving_average","K02000001","country","United Kingdom","year","2018","seb","Total","highest_qualification","higher",NA,NA,"2014-2025",11.952,"10.948","13.059","3409","Average","3-year moving average","seb","rweight","25-29","2014-2025","12%"
"in23","Highest qualification","trend_moving_average","K02000001","country","United Kingdom","year","2019","seb","Total","highest_qualification","higher",NA,NA,"2014-2025",12.749,"11.703","13.870","3323","Average","3-year moving average","seb","rweight","25-29","2014-2025","13%"
"in23","Highest qualification","trend_moving_average","K02000001","country","United Kingdom","year","2020","seb","Total","highest_qualification","higher",NA,NA,"2014-2025",13.695,"12.608","14.854","2899","Average","3-year moving average","seb","rweight","25-29","2014-2025","14%"
"in23","Highest qualification","trend_moving_average","K02000001","country","United Kingdom","year","2021","seb","Total","highest_qualification","higher",NA,NA,"2014-2025",14.983,"13.844","16.184","2773","Average","3-year moving average","seb","rweight","25-29","2014-2025","15%"
"in23","Highest qualification","trend_moving_average","K02000001","country","United Kingdom","year","2022","seb","Total","highest_qualification","higher",NA,NA,"2014-2025",15.966,"14.788","17.214","2395","Average","3-year moving average","seb","rweight","25-29","2014-2025","16%"
"in23","Highest qualification","trend_moving_average","K02000001","country","United Kingdom","year","2023","seb","Total","highest_qualification","higher",NA,NA,"2014-2025",17.064,"15.815","18.362","2044","Average","3-year moving average","seb","rweight","25-29","2014-2025","17%"
"in23","Highest qualification","trend_moving_average","K02000001","country","United Kingdom","year","2024","seb","Total","highest_qualification","higher",NA,NA,"2014-2025",17.202,"15.955","18.525","1754","Average","3-year moving average","seb","rweight","25-29","2014-2025","17%"
"in23","Highest qualification","trend_moving_average","K02000001","country","United Kingdom","year","2025","seb","Total","highest_qualification","higher",NA,NA,"2014-2025",17.933,"16.692","19.260","1932","Average","3-year moving average","seb","rweight","25-29","2014-2025","18%"
"in23","Highest qualification","trend_moving_average","K02000001","country","United Kingdom","year","2016","seb","Lower working","highest_qualification","first",NA,NA,"2014-2025",16.163,"13.621","18.968","785","Average","3-year moving average","seb","rweight","25-29","2014-2025","16%"
"in23","Highest qualification","trend_moving_average","K02000001","country","United Kingdom","year","2016","seb","Higher working","highest_qualification","first",NA,NA,"2014-2025",22.636,"19.645","25.817","749","Average","3-year moving average","seb","rweight","25-29","2014-2025","23%"
"in23","Highest qualification","trend_moving_average","K02000001","country","United Kingdom","year","2016","seb","Intermediate","highest_qualification","first",NA,NA,"2014-2025",29.185,"26.278","32.370","895","Average","3-year moving average","seb","rweight","25-29","2014-2025","29%"
"in23","Highest qualification","trend_moving_average","K02000001","country","United Kingdom","year","2016","seb","Lower professional","highest_qualification","first",NA,NA,"2014-2025",38.067,"34.537","41.783","691","Average","3-year moving average","seb","rweight","25-29","2014-2025","38%"
"in23","Highest qualification","trend_moving_average","K02000001","country","United Kingdom","year","2016","seb","Higher professional","highest_qualification","first",NA,NA,"2014-2025",44.27,"40.144","48.329","561","Average","3-year moving average","seb","rweight","25-29","2014-2025","44%"
"in23","Highest qualification","trend_moving_average","K02000001","country","United Kingdom","year","2017","seb","Lower working","highest_qualification","first",NA,NA,"2014-2025",16.3,"13.810","19.171","754","Average","3-year moving average","seb","rweight","25-29","2014-2025","16%"
"in23","Highest qualification","trend_moving_average","K02000001","country","United Kingdom","year","2017","seb","Higher working","highest_qualification","first",NA,NA,"2014-2025",23.658,"20.694","26.870","731","Average","3-year moving average","seb","rweight","25-29","2014-2025","24%"
"in23","Highest qualification","trend_moving_average","K02000001","country","United Kingdom","year","2017","seb","Intermediate","highest_qualification","first",NA,NA,"2014-2025",30.339,"27.341","33.544","842","Average","3-year moving average","seb","rweight","25-29","2014-2025","30%"
"in23","Highest qualification","trend_moving_average","K02000001","country","United Kingdom","year","2017","seb","Lower professional","highest_qualification","first",NA,NA,"2014-2025",38.346,"34.783","41.949","684","Average","3-year moving average","seb","rweight","25-29","2014-2025","38%"
"in23","Highest qualification","trend_moving_average","K02000001","country","United Kingdom","year","2017","seb","Higher professional","highest_qualification","first",NA,NA,"2014-2025",42.212,"38.404","46.197","578","Average","3-year moving average","seb","rweight","25-29","2014-2025","42%"
"in23","Highest qualification","trend_moving_average","K02000001","country","United Kingdom","year","2018","seb","Lower working","highest_qualification","first",NA,NA,"2014-2025",16.387,"13.825","19.322","696","Average","3-year moving average","seb","rweight","25-29","2014-2025","16%"
"in23","Highest qualification","trend_moving_average","K02000001","country","United Kingdom","year","2018","seb","Higher working","highest_qualification","first",NA,NA,"2014-2025",24.103,"21.132","27.396","696","Average","3-year moving average","seb","rweight","25-29","2014-2025","24%"
"in23","Highest qualification","trend_moving_average","K02000001","country","United Kingdom","year","2018","seb","Intermediate","highest_qualification","first",NA,NA,"2014-2025",28.899,"25.854","32.099","774","Average","3-year moving average","seb","rweight","25-29","2014-2025","29%"
"in23","Highest qualification","trend_moving_average","K02000001","country","United Kingdom","year","2018","seb","Lower professional","highest_qualification","first",NA,NA,"2014-2025",37.842,"34.425","41.461","677","Average","3-year moving average","seb","rweight","25-29","2014-2025","38%"
"in23","Highest qualification","trend_moving_average","K02000001","country","United Kingdom","year","2018","seb","Higher professional","highest_qualification","first",NA,NA,"2014-2025",42.186,"38.429","46.149","561","Average","3-year moving average","seb","rweight","25-29","2014-2025","42%"
"in23","Highest qualification","trend_moving_average","K02000001","country","United Kingdom","year","2019","seb","Lower working","highest_qualification","first",NA,NA,"2014-2025",15.864,"13.285","18.754","664","Average","3-year moving average","seb","rweight","25-29","2014-2025","16%"
"in23","Highest qualification","trend_moving_average","K02000001","country","United Kingdom","year","2019","seb","Higher working","highest_qualification","first",NA,NA,"2014-2025",24.402,"21.237","27.755","635","Average","3-year moving average","seb","rweight","25-29","2014-2025","24%"
"in23","Highest qualification","trend_moving_average","K02000001","country","United Kingdom","year","2019","seb","Intermediate","highest_qualification","first",NA,NA,"2014-2025",28.308,"25.286","31.451","760","Average","3-year moving average","seb","rweight","25-29","2014-2025","28%"
"in23","Highest qualification","trend_moving_average","K02000001","country","United Kingdom","year","2019","seb","Lower professional","highest_qualification","first",NA,NA,"2014-2025",37.996,"34.571","41.472","684","Average","3-year moving average","seb","rweight","25-29","2014-2025","38%"
"in23","Highest qualification","trend_moving_average","K02000001","country","United Kingdom","year","2019","seb","Higher professional","highest_qualification","first",NA,NA,"2014-2025",42.596,"38.909","46.469","574","Average","3-year moving average","seb","rweight","25-29","2014-2025","43%"
"in23","Highest qualification","trend_moving_average","K02000001","country","United Kingdom","year","2020","seb","Lower working","highest_qualification","first",NA,NA,"2014-2025",17.41,"14.590","20.472","545","Average","3-year moving average","seb","rweight","25-29","2014-2025","17%"
"in23","Highest qualification","trend_moving_average","K02000001","country","United Kingdom","year","2020","seb","Higher working","highest_qualification","first",NA,NA,"2014-2025",25.738,"22.438","29.189","541","Average","3-year moving average","seb","rweight","25-29","2014-2025","26%"
"in23","Highest qualification","trend_moving_average","K02000001","country","United Kingdom","year","2020","seb","Intermediate","highest_qualification","first",NA,NA,"2014-2025",30.252,"27.089","33.520","651","Average","3-year moving average","seb","rweight","25-29","2014-2025","30%"
"in23","Highest qualification","trend_moving_average","K02000001","country","United Kingdom","year","2020","seb","Lower professional","highest_qualification","first",NA,NA,"2014-2025",39.786,"36.470","43.240","631","Average","3-year moving average","seb","rweight","25-29","2014-2025","40%"
"in23","Highest qualification","trend_moving_average","K02000001","country","United Kingdom","year","2020","seb","Higher professional","highest_qualification","first",NA,NA,"2014-2025",43.609,"39.942","47.380","528","Average","3-year moving average","seb","rweight","25-29","2014-2025","44%"
"in23","Highest qualification","trend_moving_average","K02000001","country","United Kingdom","year","2021","seb","Lower working","highest_qualification","first",NA,NA,"2014-2025",18.917,"15.989","22.087","504","Average","3-year moving average","seb","rweight","25-29","2014-2025","19%"
"in23","Highest qualification","trend_moving_average","K02000001","country","United Kingdom","year","2021","seb","Higher working","highest_qualification","first",NA,NA,"2014-2025",28.054,"24.594","31.811","469","Average","3-year moving average","seb","rweight","25-29","2014-2025","28%"
"in23","Highest qualification","trend_moving_average","K02000001","country","United Kingdom","year","2021","seb","Intermediate","highest_qualification","first",NA,NA,"2014-2025",33.537,"30.292","36.857","641","Average","3-year moving average","seb","rweight","25-29","2014-2025","34%"
"in23","Highest qualification","trend_moving_average","K02000001","country","United Kingdom","year","2021","seb","Lower professional","highest_qualification","first",NA,NA,"2014-2025",40.811,"37.380","44.226","613","Average","3-year moving average","seb","rweight","25-29","2014-2025","41%"
"in23","Highest qualification","trend_moving_average","K02000001","country","United Kingdom","year","2021","seb","Higher professional","highest_qualification","first",NA,NA,"2014-2025",43.876,"40.275","47.562","545","Average","3-year moving average","seb","rweight","25-29","2014-2025","44%"
"in23","Highest qualification","trend_moving_average","K02000001","country","United Kingdom","year","2022","seb","Lower working","highest_qualification","first",NA,NA,"2014-2025",20.578,"17.483","23.979","413","Average","3-year moving average","seb","rweight","25-29","2014-2025","21%"
"in23","Highest qualification","trend_moving_average","K02000001","country","United Kingdom","year","2022","seb","Higher working","highest_qualification","first",NA,NA,"2014-2025",29.063,"25.489","33.009","382","Average","3-year moving average","seb","rweight","25-29","2014-2025","29%"
"in23","Highest qualification","trend_moving_average","K02000001","country","United Kingdom","year","2022","seb","Intermediate","highest_qualification","first",NA,NA,"2014-2025",34.234,"30.944","37.625","549","Average","3-year moving average","seb","rweight","25-29","2014-2025","34%"
"in23","Highest qualification","trend_moving_average","K02000001","country","United Kingdom","year","2022","seb","Lower professional","highest_qualification","first",NA,NA,"2014-2025",40.229,"36.871","43.656","551","Average","3-year moving average","seb","rweight","25-29","2014-2025","40%"
"in23","Highest qualification","trend_moving_average","K02000001","country","United Kingdom","year","2022","seb","Higher professional","highest_qualification","first",NA,NA,"2014-2025",47.21,"43.560","50.839","498","Average","3-year moving average","seb","rweight","25-29","2014-2025","47%"
"in23","Highest qualification","trend_moving_average","K02000001","country","United Kingdom","year","2023","seb","Lower working","highest_qualification","first",NA,NA,"2014-2025",22.922,"19.728","26.421","364","Average","3-year moving average","seb","rweight","25-29","2014-2025","23%"
"in23","Highest qualification","trend_moving_average","K02000001","country","United Kingdom","year","2023","seb","Higher working","highest_qualification","first",NA,NA,"2014-2025",27.401,"23.772","31.472","310","Average","3-year moving average","seb","rweight","25-29","2014-2025","27%"
"in23","Highest qualification","trend_moving_average","K02000001","country","United Kingdom","year","2023","seb","Intermediate","highest_qualification","first",NA,NA,"2014-2025",32.13,"28.944","35.602","489","Average","3-year moving average","seb","rweight","25-29","2014-2025","32%"
"in23","Highest qualification","trend_moving_average","K02000001","country","United Kingdom","year","2023","seb","Lower professional","highest_qualification","first",NA,NA,"2014-2025",38.897,"35.395","42.483","452","Average","3-year moving average","seb","rweight","25-29","2014-2025","39%"
"in23","Highest qualification","trend_moving_average","K02000001","country","United Kingdom","year","2023","seb","Higher professional","highest_qualification","first",NA,NA,"2014-2025",48.079,"44.390","51.844","426","Average","3-year moving average","seb","rweight","25-29","2014-2025","48%"
