"measure_code","measure_title","chart_type","area_code","area_type","area_name","primary_split_type","primary_split_value","secondary_split_type","secondary_split_value","tertiary_split_type","tertiary_split_value","fourth_split_type","fourth_split_value","time_period","value","lci","uci","sample_size","unit","value_note","variable_used","weight_used","age_used","year_used","label"
"in36","Direct effect of social origins on hourly earnings","sex","K02000001","country","United Kingdom","seb","Lower working","sex","Men",NA,NA,NA,NA,"2014-2025",11.024,"10.467","11.611","719","Pounds",NA,"payhour_inflation_adjusted","weighti","25-29","2014-2025","£11"
"in36","Direct effect of social origins on hourly earnings","sex","K02000001","country","United Kingdom","seb","Higher working","sex","Men",NA,NA,NA,NA,"2014-2025",11.139,"10.562","11.747","779","Pounds",NA,"payhour_inflation_adjusted","weighti","25-29","2014-2025","£11.1"
"in36","Direct effect of social origins on hourly earnings","sex","K02000001","country","United Kingdom","seb","Intermediate","sex","Men",NA,NA,NA,NA,"2014-2025",11.485,"10.903","12.099","990","Pounds",NA,"payhour_inflation_adjusted","weighti","25-29","2014-2025","£11.5"
"in36","Direct effect of social origins on hourly earnings","sex","K02000001","country","United Kingdom","seb","Lower professional","sex","Men",NA,NA,NA,NA,"2014-2025",12.25,"11.598","12.939","941","Pounds",NA,"payhour_inflation_adjusted","weighti","25-29","2014-2025","£12.3"
"in36","Direct effect of social origins on hourly earnings","sex","K02000001","country","United Kingdom","seb","Higher professional","sex","Men",NA,NA,NA,NA,"2014-2025",12.917,"12.210","13.665","881","Pounds",NA,"payhour_inflation_adjusted","weighti","25-29","2014-2025","£12.9"
"in36","Direct effect of social origins on hourly earnings","sex","K02000001","country","United Kingdom","seb","Lower working","sex","Women",NA,NA,NA,NA,"2014-2025",10.436,"9.888","11.015","790","Pounds",NA,"payhour_inflation_adjusted","weighti","25-29","2014-2025","£10.4"
"in36","Direct effect of social origins on hourly earnings","sex","K02000001","country","United Kingdom","seb","Higher working","sex","Women",NA,NA,NA,NA,"2014-2025",10.998,"10.419","11.610","923","Pounds",NA,"payhour_inflation_adjusted","weighti","25-29","2014-2025","£11"
"in36","Direct effect of social origins on hourly earnings","sex","K02000001","country","United Kingdom","seb","Intermediate","sex","Women",NA,NA,NA,NA,"2014-2025",11.426,"10.833","12.052","1144","Pounds",NA,"payhour_inflation_adjusted","weighti","25-29","2014-2025","£11.4"
"in36","Direct effect of social origins on hourly earnings","sex","K02000001","country","United Kingdom","seb","Lower professional","sex","Women",NA,NA,NA,NA,"2014-2025",11.86,"11.229","12.527","1097","Pounds",NA,"payhour_inflation_adjusted","weighti","25-29","2014-2025","£11.9"
"in36","Direct effect of social origins on hourly earnings","sex","K02000001","country","United Kingdom","seb","Higher professional","sex","Women",NA,NA,NA,NA,"2014-2025",12.745,"12.053","13.476","1019","Pounds",NA,"payhour_inflation_adjusted","weighti","25-29","2014-2025","£12.7"
"in36","Direct effect of social origins on hourly earnings","ethnicity","K02000001","country","United Kingdom","seb","Lower working","ethnicity","White British",NA,NA,NA,NA,"2014-2025",10.881,"10.465","11.313",NA,"Pound",NA,"payhour_inflation_adjusted","weighti","25-29","2014-2025","£10.9"
"in36","Direct effect of social origins on hourly earnings","ethnicity","K02000001","country","United Kingdom","seb","Higher professional","ethnicity","White British",NA,NA,NA,NA,"2014-2025",13.006,"12.484","13.549",NA,"Pound",NA,"payhour_inflation_adjusted","weighti","25-29","2014-2025","£13"
"in36","Direct effect of social origins on hourly earnings","ethnicity","K02000001","country","United Kingdom","seb","Lower working","ethnicity","Bangladeshi",NA,NA,NA,NA,"2014-2025",8.339,"7.384","9.419",NA,"Pound",NA,"payhour_inflation_adjusted","weighti","25-29","2014-2025","£8.3"
"in36","Direct effect of social origins on hourly earnings","ethnicity","K02000001","country","United Kingdom","seb","Higher professional","ethnicity","Bangladeshi",NA,NA,NA,NA,"2014-2025",9.968,"8.813","11.275",NA,"Pound",NA,"payhour_inflation_adjusted","weighti","25-29","2014-2025","£10"
"in36","Direct effect of social origins on hourly earnings","ethnicity","K02000001","country","United Kingdom","seb","Lower working","ethnicity","Black African",NA,NA,NA,NA,"2014-2025",10.439,"9.747","11.181",NA,"Pound",NA,"payhour_inflation_adjusted","weighti","25-29","2014-2025","£10.4"
"in36","Direct effect of social origins on hourly earnings","ethnicity","K02000001","country","United Kingdom","seb","Higher professional","ethnicity","Black African",NA,NA,NA,NA,"2014-2025",12.478,"11.625","13.393",NA,"Pound",NA,"payhour_inflation_adjusted","weighti","25-29","2014-2025","£12.5"
"in36","Direct effect of social origins on hourly earnings","ethnicity","K02000001","country","United Kingdom","seb","Lower working","ethnicity","Black Caribbean",NA,NA,NA,NA,"2014-2025",9.782,"8.880","10.776",NA,"Pound",NA,"payhour_inflation_adjusted","weighti","25-29","2014-2025","£9.8"
"in36","Direct effect of social origins on hourly earnings","ethnicity","K02000001","country","United Kingdom","seb","Higher professional","ethnicity","Black Caribbean",NA,NA,NA,NA,"2014-2025",11.693,"10.598","12.901",NA,"Pound",NA,"payhour_inflation_adjusted","weighti","25-29","2014-2025","£11.7"
"in36","Direct effect of social origins on hourly earnings","ethnicity","K02000001","country","United Kingdom","seb","Lower working","ethnicity","Chinese",NA,NA,NA,NA,"2014-2025",10.509,"9.451","11.686",NA,"Pound",NA,"payhour_inflation_adjusted","weighti","25-29","2014-2025","£10.5"
"in36","Direct effect of social origins on hourly earnings","ethnicity","K02000001","country","United Kingdom","seb","Higher professional","ethnicity","Chinese",NA,NA,NA,NA,"2014-2025",12.561,"11.282","13.986",NA,"Pound",NA,"payhour_inflation_adjusted","weighti","25-29","2014-2025","£12.6"
"in36","Direct effect of social origins on hourly earnings","ethnicity","K02000001","country","United Kingdom","seb","Lower working","ethnicity","Indian",NA,NA,NA,NA,"2014-2025",10.473,"9.867","11.116",NA,"Pound",NA,"payhour_inflation_adjusted","weighti","25-29","2014-2025","£10.5"
"in36","Direct effect of social origins on hourly earnings","ethnicity","K02000001","country","United Kingdom","seb","Higher professional","ethnicity","Indian",NA,NA,NA,NA,"2014-2025",12.519,"11.776","13.309",NA,"Pound",NA,"payhour_inflation_adjusted","weighti","25-29","2014-2025","£12.5"
"in36","Direct effect of social origins on hourly earnings","ethnicity","K02000001","country","United Kingdom","seb","Lower working","ethnicity","Mixed",NA,NA,NA,NA,"2014-2025",10.681,"9.975","11.438",NA,"Pound",NA,"payhour_inflation_adjusted","weighti","25-29","2014-2025","£10.7"
"in36","Direct effect of social origins on hourly earnings","ethnicity","K02000001","country","United Kingdom","seb","Higher professional","ethnicity","Mixed",NA,NA,NA,NA,"2014-2025",12.768,"11.902","13.696",NA,"Pound",NA,"payhour_inflation_adjusted","weighti","25-29","2014-2025","£12.8"
"in36","Direct effect of social origins on hourly earnings","ethnicity","K02000001","country","United Kingdom","seb","Lower working","ethnicity","Other",NA,NA,NA,NA,"2014-2025",10.325,"9.666","11.029",NA,"Pound",NA,"payhour_inflation_adjusted","weighti","25-29","2014-2025","£10.3"
"in36","Direct effect of social origins on hourly earnings","ethnicity","K02000001","country","United Kingdom","seb","Higher professional","ethnicity","Other",NA,NA,NA,NA,"2014-2025",12.341,"11.540","13.198",NA,"Pound",NA,"payhour_inflation_adjusted","weighti","25-29","2014-2025","£12.3"
"in36","Direct effect of social origins on hourly earnings","ethnicity","K02000001","country","United Kingdom","seb","Lower working","ethnicity","Pakistani",NA,NA,NA,NA,"2014-2025",9.928,"9.123","10.805",NA,"Pound",NA,"payhour_inflation_adjusted","weighti","25-29","2014-2025","£9.9"
"in36","Direct effect of social origins on hourly earnings","ethnicity","K02000001","country","United Kingdom","seb","Higher professional","ethnicity","Pakistani",NA,NA,NA,NA,"2014-2025",11.867,"10.888","12.934",NA,"Pound",NA,"payhour_inflation_adjusted","weighti","25-29","2014-2025","£11.9"
"in36","Direct effect of social origins on hourly earnings","ethnicity","K02000001","country","United Kingdom","seb","Lower working","ethnicity","White other",NA,NA,NA,NA,"2014-2025",10.794,"10.340","11.269",NA,"Pound",NA,"payhour_inflation_adjusted","weighti","25-29","2014-2025","£10.8"
"in36","Direct effect of social origins on hourly earnings","ethnicity","K02000001","country","United Kingdom","seb","Higher professional","ethnicity","White other",NA,NA,NA,NA,"2014-2025",12.903,"12.333","13.499",NA,"Pound",NA,"payhour_inflation_adjusted","weighti","25-29","2014-2025","£12.9"
"in36","Direct effect of social origins on hourly earnings","disability","K02000001","country","United Kingdom","seb","Lower working","disability","Yes",NA,NA,NA,NA,"2014-2025",10.867,"9.626","12.268","208","Pound","Mean hourly earnings","payhour_inflation_adjusted","weighti","25-29","2014-2025","£10.9"
"in36","Direct effect of social origins on hourly earnings","disability","K02000001","country","United Kingdom","seb","Higher working","disability","Yes",NA,NA,NA,NA,"2014-2025",10.648,"9.356","12.118","184","Pound","Mean hourly earnings","payhour_inflation_adjusted","weighti","25-29","2014-2025","£10.6"
"in36","Direct effect of social origins on hourly earnings","disability","K02000001","country","United Kingdom","seb","Intermediate","disability","Yes",NA,NA,NA,NA,"2014-2025",11.397,"10.063","12.909","235","Pound","Mean hourly earnings","payhour_inflation_adjusted","weighti","25-29","2014-2025","£11.4"
"in36","Direct effect of social origins on hourly earnings","disability","K02000001","country","United Kingdom","seb","Lower professional","disability","Yes",NA,NA,NA,NA,"2014-2025",11.434,"10.029","13.036","231","Pound","Mean hourly earnings","payhour_inflation_adjusted","weighti","25-29","2014-2025","£11.4"
"in36","Direct effect of social origins on hourly earnings","disability","K02000001","country","United Kingdom","seb","Higher professional","disability","Yes",NA,NA,NA,NA,"2014-2025",12.301,"10.794","14.019","225","Pound","Mean hourly earnings","payhour_inflation_adjusted","weighti","25-29","2014-2025","£12.3"
"in36","Direct effect of social origins on hourly earnings","disability","K02000001","country","United Kingdom","seb","Lower working","disability","No",NA,NA,NA,NA,"2014-2025",10.732,"10.320","11.161","1293","Pound","Mean hourly earnings","payhour_inflation_adjusted","weighti","25-29","2014-2025","£10.7"
"in36","Direct effect of social origins on hourly earnings","disability","K02000001","country","United Kingdom","seb","Higher working","disability","No",NA,NA,NA,NA,"2014-2025",11.139,"10.708","11.586","1512","Pound","Mean hourly earnings","payhour_inflation_adjusted","weighti","25-29","2014-2025","£11.1"
"in36","Direct effect of social origins on hourly earnings","disability","K02000001","country","United Kingdom","seb","Intermediate","disability","No",NA,NA,NA,NA,"2014-2025",11.474,"11.038","11.928","1895","Pound","Mean hourly earnings","payhour_inflation_adjusted","weighti","25-29","2014-2025","£11.5"
"in36","Direct effect of social origins on hourly earnings","disability","K02000001","country","United Kingdom","seb","Lower professional","disability","No",NA,NA,NA,NA,"2014-2025",12.171,"11.692","12.671","1804","Pound","Mean hourly earnings","payhour_inflation_adjusted","weighti","25-29","2014-2025","£12.2"
"in36","Direct effect of social origins on hourly earnings","disability","K02000001","country","United Kingdom","seb","Higher professional","disability","No",NA,NA,NA,NA,"2014-2025",12.981,"12.454","13.529","1668","Pound","Mean hourly earnings","payhour_inflation_adjusted","weighti","25-29","2014-2025","£13"
"in36","Direct effect of social origins on hourly earnings","seb_percentage","K02000001","country","United Kingdom","seb","Higher working",NA,NA,NA,NA,NA,NA,"2023 to 2025",4.767,"NA","NA","689","Percentage difference","Percentage differences relative to those with lower level (below CSE grade 1 or equivalent)","payhour_inflation_adjusted","weighti","25-29","2023-2025","5%"
"in36","Direct effect of social origins on hourly earnings","seb_percentage","K02000001","country","United Kingdom","seb","Intermediate",NA,NA,NA,NA,NA,NA,"2023 to 2025",10.853,"NA","NA","689","Percentage difference","Percentage differences relative to those with lower level (below CSE grade 1 or equivalent)","payhour_inflation_adjusted","weighti","25-29","2023-2025","11%"
"in36","Direct effect of social origins on hourly earnings","seb_percentage","K02000001","country","United Kingdom","seb","Lower professional",NA,NA,NA,NA,NA,NA,"2023 to 2025",12.71,"NA","NA","689","Percentage difference","Percentage differences relative to those with lower level (below CSE grade 1 or equivalent)","payhour_inflation_adjusted","weighti","25-29","2023-2025","13%"
