"Year","Men","","Women",""
"","28-37","38-47","28-37","38-47"
"2021","3.5","4.15","3.67","3.64"
"2011","4.5","4.26","4.26","3.65"
"2001","4.24","4.62","3.65","3.85"
"1991","5.91",,"4.77",
