SEB,Value
North East,0.266
North West,0.297
Yorkshire and the Humber,0.235
East Midlands,0.223
West Midlands,0.259
East of England,0.285
London,0.39
South East,0.324
South West,0.311
Wales,0.228
Scotland,0.289
Northern Ireland,0.278
