Area_name,Area_code,Time_period,Sample_size,Value,Ind_code,Ind_name,Area_type,Category_type,Category,SEB,LCI,UCI,SE,Unit,Value_note
United Kingdom,K02000001,2021,"27,085",3.276854928,DR11,NA,UK-wide,NA,NA,NA,NA,NA,NA,Ratio,NA
United Kingdom,K02000001,2020,"25,910",3.407110092,DR11,NA,UK-wide,NA,NA,NA,NA,NA,NA,Ratio,NA
United Kingdom,K02000001,2019,"26,703",3.456287425,DR11,NA,UK-wide,NA,NA,NA,NA,NA,NA,Ratio,NA
United Kingdom,K02000001,2018,"26,424",3.539622642,DR11,NA,UK-wide,NA,NA,NA,NA,NA,NA,Ratio,NA
United Kingdom,K02000001,2017,"26,241",3.56824147,DR11,NA,UK-wide,NA,NA,NA,NA,NA,NA,Ratio,NA
United Kingdom,K02000001,2016,"25,758",3.620547945,DR11,NA,UK-wide,NA,NA,NA,NA,NA,NA,Ratio,NA
United Kingdom,K02000001,2015,"25,997",3.725290698,DR11,NA,UK-wide,NA,NA,NA,NA,NA,NA,Ratio,NA
United Kingdom,K02000001,2014,"25,036",3.821321321,DR11,NA,UK-wide,NA,NA,NA,NA,NA,NA,Ratio,NA
United Kingdom,K02000001,2013,"24,575",3.863013699,DR11,NA,UK-wide,NA,NA,NA,NA,NA,NA,Ratio,NA
United Kingdom,K02000001,2012,"24,203",3.863987635,DR11,NA,UK-wide,NA,NA,NA,NA,NA,NA,Ratio,NA
United Kingdom,K02000001,2011,"24,376",3.961965135,DR11,NA,UK-wide,NA,NA,NA,NA,NA,NA,Ratio,NA
United Kingdom,K02000001,2010,"24,263",3.963317384,DR11,NA,UK-wide,NA,NA,NA,NA,NA,NA,Ratio,NA
United Kingdom,K02000001,2009,"24,256",3.948470209,DR11,NA,UK-wide,NA,NA,NA,NA,NA,NA,Ratio,NA
United Kingdom,K02000001,2008,"24,626",3.945,DR11,NA,UK-wide,NA,NA,NA,NA,NA,NA,Ratio,NA
United Kingdom,K02000001,2007,"24,487",3.929674099,DR11,NA,UK-wide,NA,NA,NA,NA,NA,NA,Ratio,NA
United Kingdom,K02000001,2006,"23,729",3.96953405,DR11,NA,UK-wide,NA,NA,NA,NA,NA,NA,Ratio,NA
United Kingdom,K02000001,2005,"23,659",3.996268657,DR11,NA,UK-wide,NA,NA,NA,NA,NA,NA,Ratio,NA
United Kingdom,K02000001,2004,"21,915",3.955598456,DR11,NA,UK-wide,NA,NA,NA,NA,NA,NA,Ratio,NA
United Kingdom,K02000001,2003,"22,209",3.978043912,DR11,NA,UK-wide,NA,NA,NA,NA,NA,NA,Ratio,NA
United Kingdom,K02000001,2002,"21,975",4.018828452,DR11,NA,UK-wide,NA,NA,NA,NA,NA,NA,Ratio,NA
United Kingdom,K02000001,2001,"21,858",4.033112583,DR11,NA,UK-wide,NA,NA,NA,NA,NA,NA,Ratio,NA
United Kingdom,K02000001,2000,"21,721",3.961009174,DR11,NA,UK-wide,NA,NA,NA,NA,NA,NA,Ratio,NA
United Kingdom,K02000001,1999,"21,490",3.992822967,DR11,NA,UK-wide,NA,NA,NA,NA,NA,NA,Ratio,NA
United Kingdom,K02000001,1998,"21,167",3.99,DR11,NA,UK-wide,NA,NA,NA,NA,NA,NA,Ratio,NA
United Kingdom,K02000001,1997,"20,858",4.01312336,DR11,NA,UK-wide,NA,NA,NA,NA,NA,NA,Ratio,NA
England,E92000001,2021,"22,576",3.352486188,DR11,NA,ITL1,NA,NA,NA,NA,NA,NA,Ratio,NA
Wales,W92000004,2021,"1,200",2.765555556,DR11,NA,ITL1,NA,NA,NA,NA,NA,NA,Ratio,NA
Scotland,S92000003,2021,"2,236",2.961832061,DR11,NA,ITL1,NA,NA,NA,NA,NA,NA,Ratio,NA
Northern Ireland,N92000002,2021,"1,074",2.873176207,DR11,NA,ITL1,NA,NA,NA,NA,NA,NA,Ratio,NA
England,E92000001,2020,"21,616",3.496559633,DR11,NA,ITL1,NA,NA,NA,NA,NA,NA,Ratio,NA
Wales,W92000004,2020,"1,137",2.852704258,DR11,NA,ITL1,NA,NA,NA,NA,NA,NA,Ratio,NA
Scotland,S92000003,2020,"2,155",3.055865922,DR11,NA,ITL1,NA,NA,NA,NA,NA,NA,Ratio,NA
Northern Ireland,N92000002,2020,"1,002",3.031725888,DR11,NA,ITL1,NA,NA,NA,NA,NA,NA,Ratio,NA
England,E92000001,2019,"22,420",3.540669856,DR11,NA,ITL1,NA,NA,NA,NA,NA,NA,Ratio,NA
Wales,W92000004,2019,"1,140",2.957575758,DR11,NA,ITL1,NA,NA,NA,NA,NA,NA,Ratio,NA
Scotland,S92000003,2019,"2,269",3.09540636,DR11,NA,ITL1,NA,NA,NA,NA,NA,NA,Ratio,NA
Northern Ireland,N92000002,2019,873,2.922046285,DR11,NA,ITL1,NA,NA,NA,NA,NA,NA,Ratio,NA
England,E92000001,2018,"22,191",3.621079046,DR11,NA,ITL1,NA,NA,NA,NA,NA,NA,Ratio,NA
Wales,W92000004,2018,"1,121",3,DR11,NA,ITL1,NA,NA,NA,NA,NA,NA,Ratio,NA
Scotland,S92000003,2018,"2,320",3.20625,DR11,NA,ITL1,NA,NA,NA,NA,NA,NA,Ratio,NA
Northern Ireland,N92000002,2018,792,3.005108557,DR11,NA,ITL1,NA,NA,NA,NA,NA,NA,Ratio,NA
England,E92000001,2017,"22,037",3.646133683,DR11,NA,ITL1,NA,NA,NA,NA,NA,NA,Ratio,NA
Wales,W92000004,2017,"1,119",3.074567244,DR11,NA,ITL1,NA,NA,NA,NA,NA,NA,Ratio,NA
Scotland,S92000003,2017,"2,260",3.22997416,DR11,NA,ITL1,NA,NA,NA,NA,NA,NA,Ratio,NA
Northern Ireland,N92000002,2017,824,3.082666667,DR11,NA,ITL1,NA,NA,NA,NA,NA,NA,Ratio,NA
England,E92000001,2016,"21,613",3.692622951,DR11,NA,ITL1,NA,NA,NA,NA,NA,NA,Ratio,NA
Wales,W92000004,2016,"1,094",3.171745152,DR11,NA,ITL1,NA,NA,NA,NA,NA,NA,Ratio,NA
Scotland,S92000003,2016,"2,218",3.284552846,DR11,NA,ITL1,NA,NA,NA,NA,NA,NA,Ratio,NA
Northern Ireland,N92000002,2016,833,3.2125,DR11,NA,ITL1,NA,NA,NA,NA,NA,NA,Ratio,NA
England,E92000001,2015,"21,822",3.791304348,DR11,NA,ITL1,NA,NA,NA,NA,NA,NA,Ratio,NA
Scotland,S92000003,2015,"2,244",3.38,DR11,NA,ITL1,NA,NA,NA,NA,NA,NA,Ratio,NA
Northern Ireland,N92000002,2015,792,3.451219512,DR11,NA,ITL1,NA,NA,NA,NA,NA,NA,Ratio,NA
England,E92000001,2014,"21,006",3.892053973,DR11,NA,ITL1,NA,NA,NA,NA,NA,NA,Ratio,NA
Scotland,S92000003,2014,"2,199",3.468335788,DR11,NA,ITL1,NA,NA,NA,NA,NA,NA,Ratio,NA
Northern Ireland,N92000002,2014,722,3.534700315,DR11,NA,ITL1,NA,NA,NA,NA,NA,NA,Ratio,NA
England,E92000001,2013,"20,624",3.937784522,DR11,NA,ITL1,NA,NA,NA,NA,NA,NA,Ratio,NA
Scotland,S92000003,2013,"2,166",3.536036036,DR11,NA,ITL1,NA,NA,NA,NA,NA,NA,Ratio,NA
Northern Ireland,N92000002,2013,709,3.5792,DR11,NA,ITL1,NA,NA,NA,NA,NA,NA,Ratio,NA
England,E92000001,2012,"20,255",3.930769231,DR11,NA,ITL1,NA,NA,NA,NA,NA,NA,Ratio,NA
Scotland,S92000003,2012,"2,132",3.540832049,DR11,NA,ITL1,NA,NA,NA,NA,NA,NA,Ratio,NA
Northern Ireland,N92000002,2012,753,3.544715447,DR11,NA,ITL1,NA,NA,NA,NA,NA,NA,Ratio,NA
England,E92000001,2011,"20,413",4.026771654,DR11,NA,ITL1,NA,NA,NA,NA,NA,NA,Ratio,NA
Scotland,S92000003,2011,"2,162",3.60443038,DR11,NA,ITL1,NA,NA,NA,NA,NA,NA,Ratio,NA
Northern Ireland,N92000002,2011,715,3.695,DR11,NA,ITL1,NA,NA,NA,NA,NA,NA,Ratio,NA
England,E92000001,2010,"20,280",4.036565978,DR11,NA,ITL1,NA,NA,NA,NA,NA,NA,Ratio,NA
Scotland,S92000003,2010,"2,204",3.647058824,DR11,NA,ITL1,NA,NA,NA,NA,NA,NA,Ratio,NA
Northern Ireland,N92000002,2010,720,3.61,DR11,NA,ITL1,NA,NA,NA,NA,NA,NA,Ratio,NA
England,E92000001,2009,"20,330",4.016051364,DR11,NA,ITL1,NA,NA,NA,NA,NA,NA,Ratio,NA
Scotland,S92000003,2009,"2,184",3.632423756,DR11,NA,ITL1,NA,NA,NA,NA,NA,NA,Ratio,NA
Northern Ireland,N92000002,2009,691,3.605,DR11,NA,ITL1,NA,NA,NA,NA,NA,NA,Ratio,NA
England,E92000001,2008,"20,641",4.03,DR11,NA,ITL1,NA,NA,NA,NA,NA,NA,Ratio,NA
Scotland,S92000003,2008,"2,197",3.538971808,DR11,NA,ITL1,NA,NA,NA,NA,NA,NA,Ratio,NA
Northern Ireland,N92000002,2008,712,3.674137931,DR11,NA,ITL1,NA,NA,NA,NA,NA,NA,Ratio,NA
England,E92000001,2007,"20,543",4.013675214,DR11,NA,ITL1,NA,NA,NA,NA,NA,NA,Ratio,NA
Scotland,S92000003,2007,"2,152",3.567986231,DR11,NA,ITL1,NA,NA,NA,NA,NA,NA,Ratio,NA
Northern Ireland,N92000002,2007,703,3.555160142,DR11,NA,ITL1,NA,NA,NA,NA,NA,NA,Ratio,NA
England,E92000001,2006,"19,922",4.033928571,DR11,NA,ITL1,NA,NA,NA,NA,NA,NA,Ratio,NA
Scotland,S92000003,2006,"2,090",3.7,DR11,NA,ITL1,NA,NA,NA,NA,NA,NA,Ratio,NA
Northern Ireland,N92000002,2006,696,3.794007491,DR11,NA,ITL1,NA,NA,NA,NA,NA,NA,Ratio,NA
England,E92000001,2005,"19,883",4.051851852,DR11,NA,ITL1,NA,NA,NA,NA,NA,NA,Ratio,NA
Scotland,S92000003,2005,"2,136",3.740037951,DR11,NA,ITL1,NA,NA,NA,NA,NA,NA,Ratio,NA
Northern Ireland,N92000002,2005,621,3.75146771,DR11,NA,ITL1,NA,NA,NA,NA,NA,NA,Ratio,NA
England,E92000001,2004,"18,367",4.036538462,DR11,NA,ITL1,NA,NA,NA,NA,NA,NA,Ratio,NA
Scotland,S92000003,2004,"1,978",3.599214145,DR11,NA,ITL1,NA,NA,NA,NA,NA,NA,Ratio,NA
Northern Ireland,N92000002,2004,594,3.492,DR11,NA,ITL1,NA,NA,NA,NA,NA,NA,Ratio,NA
England,E92000001,2003,"18,654",4.055555556,DR11,NA,ITL1,NA,NA,NA,NA,NA,NA,Ratio,NA
Wales,W92000004,2003,995,3.515463918,DR11,NA,ITL1,NA,NA,NA,NA,NA,NA,Ratio,NA
Scotland,S92000003,2003,"1,960",3.534136546,DR11,NA,ITL1,NA,NA,NA,NA,NA,NA,Ratio,NA
Northern Ireland,N92000002,2003,600,3.542443064,DR11,NA,ITL1,NA,NA,NA,NA,NA,NA,Ratio,NA
England,E92000001,2002,"18,454",4.108333333,DR11,NA,ITL1,NA,NA,NA,NA,NA,NA,Ratio,NA
Wales,W92000004,2002,966,3.545652174,DR11,NA,ITL1,NA,NA,NA,NA,NA,NA,Ratio,NA
Scotland,S92000003,2002,"1,941",3.642706131,DR11,NA,ITL1,NA,NA,NA,NA,NA,NA,Ratio,NA
Northern Ireland,N92000002,2002,614,3.610503282,DR11,NA,ITL1,NA,NA,NA,NA,NA,NA,Ratio,NA
England,E92000001,2001,"18,372",4.105263158,DR11,NA,ITL1,NA,NA,NA,NA,NA,NA,Ratio,NA
Wales,W92000004,2001,925,3.54214123,DR11,NA,ITL1,NA,NA,NA,NA,NA,NA,Ratio,NA
Scotland,S92000003,2001,"1,938",3.773333333,DR11,NA,ITL1,NA,NA,NA,NA,NA,NA,Ratio,NA
Northern Ireland,N92000002,2001,623,3.586206897,DR11,NA,ITL1,NA,NA,NA,NA,NA,NA,Ratio,NA
England,E92000001,2000,"18,285",4.03196347,DR11,NA,ITL1,NA,NA,NA,NA,NA,NA,Ratio,NA
Wales,W92000004,2000,933,3.088477366,DR11,NA,ITL1,NA,NA,NA,NA,NA,NA,Ratio,NA
