Time_period,Sample_size,Value,Unit,Value_note,Ind_code,Ind_name,Area_type,Category_type,Category,SEB,LCI,UCI,SE,Area_name,Area_code
2021,"4,495",12.57,Median,Median real hourly wage,DR34,Median earnings of young people aged 22-29 years,Country,NA,NA,NA,NA,NA,NA,United Kingdom,K02000001
2020,"4,312",12.56396694,Median,Median real hourly wage,DR35,Median earnings of young people aged 22-29 years,Country,NA,NA,NA,NA,NA,NA,United Kingdom,K02000001
2019,"4,551",12.29877551,Median,Median real hourly wage,DR36,Median earnings of young people aged 22-29 years,Country,NA,NA,NA,NA,NA,NA,United Kingdom,K02000001
2018,"4,486",11.91803774,Median,Median real hourly wage,DR37,Median earnings of young people aged 22-29 years,Country,NA,NA,NA,NA,NA,NA,United Kingdom,K02000001
2017,"4,553",11.70938224,Median,Median real hourly wage,DR38,Median earnings of young people aged 22-29 years,Country,NA,NA,NA,NA,NA,NA,United Kingdom,K02000001
2016,"4,471",11.65722772,Median,Median real hourly wage,DR39,Median earnings of young people aged 22-29 years,Country,NA,NA,NA,NA,NA,NA,United Kingdom,K02000001
2015,"4,481",11.26044,Median,Median real hourly wage,DR40,Median earnings of young people aged 22-29 years,Country,NA,NA,NA,NA,NA,NA,United Kingdom,K02000001
2014,"4,329",11.09277108,Median,Median real hourly wage,DR41,Median earnings of young people aged 22-29 years,Country,NA,NA,NA,NA,NA,NA,United Kingdom,K02000001
2013,"4,145",11.16,Median,Median real hourly wage,DR42,Median earnings of young people aged 22-29 years,Country,NA,NA,NA,NA,NA,NA,United Kingdom,K02000001
2012,"4,108",11.16,Median,Median real hourly wage,DR43,Median earnings of young people aged 22-29 years,Country,NA,NA,NA,NA,NA,NA,United Kingdom,K02000001
2011,"4,114",11.29115385,Median,Median real hourly wage,DR44,Median earnings of young people aged 22-29 years,Country,NA,NA,NA,NA,NA,NA,United Kingdom,K02000001
2010,"3,966",11.97749168,Median,Median real hourly wage,DR45,Median earnings of young people aged 22-29 years,Country,NA,NA,NA,NA,NA,NA,United Kingdom,K02000001
2009,"3,968",12.40423208,Median,Median real hourly wage,DR46,Median earnings of young people aged 22-29 years,Country,NA,NA,NA,NA,NA,NA,United Kingdom,K02000001
2008,"4,033",12.33814385,Median,Median real hourly wage,DR47,Median earnings of young people aged 22-29 years,Country,NA,NA,NA,NA,NA,NA,United Kingdom,K02000001
2007,"4,030",12.4327491,Median,Median real hourly wage,DR48,Median earnings of young people aged 22-29 years,Country,NA,NA,NA,NA,NA,NA,United Kingdom,K02000001
2006,"3,775",12.33906634,Median,Median real hourly wage,DR49,Median earnings of young people aged 22-29 years,Country,NA,NA,NA,NA,NA,NA,United Kingdom,K02000001
2005,"3,762",12.27037783,Median,Median real hourly wage,DR50,Median earnings of young people aged 22-29 years,Country,NA,NA,NA,NA,NA,NA,United Kingdom,K02000001
2004,"3,422",12.27886889,Median,Median real hourly wage,DR51,Median earnings of young people aged 22-29 years,Country,NA,NA,NA,NA,NA,NA,United Kingdom,K02000001
2003,"3,376",12.17851369,Median,Median real hourly wage,DR52,Median earnings of young people aged 22-29 years,Country,NA,NA,NA,NA,NA,NA,United Kingdom,K02000001
2002,"3,474",12.07402906,Median,Median real hourly wage,DR53,Median earnings of young people aged 22-29 years,Country,NA,NA,NA,NA,NA,NA,United Kingdom,K02000001
2001,"3,567",11.77335121,Median,Median real hourly wage,DR54,Median earnings of young people aged 22-29 years,Country,NA,NA,NA,NA,NA,NA,United Kingdom,K02000001
2000,"3,625",11.34245232,Median,Median real hourly wage,DR55,Median earnings of young people aged 22-29 years,Country,NA,NA,NA,NA,NA,NA,United Kingdom,K02000001
1999,"3,779",11.02165289,Median,Median real hourly wage,DR56,Median earnings of young people aged 22-29 years,Country,NA,NA,NA,NA,NA,NA,United Kingdom,K02000001
1998,"3,855",10.7373913,Median,Median real hourly wage,DR57,Median earnings of young people aged 22-29 years,Country,NA,NA,NA,NA,NA,NA,United Kingdom,K02000001
1997,"3,939",10.4904,Median,Median real hourly wage,DR58,Median earnings of young people aged 22-29 years,Country,NA,NA,NA,NA,NA,NA,United Kingdom,K02000001
