"Region","2018 to 2024","","2012 to 2017","","2006 to 2011","","2000 to 2005",""
"","Index of 'innovation and growth' ('Z-scores')","Group","Index of 'innovation and growth' ('Z-scores')","Group","Index of 'innovation and growth' ('Z-scores')","Group","Index of 'innovation and growth' ('Z-scores')","Group"
"Aberdeen City","1.108","Favourable","1.12","Favourable","1.444","Favourable","1.244","Favourable"
"Aberdeenshire","-0.044","Middling","0.17","Middling","0.273","Middling","0.067","Middling"
"Angus","-0.403","Middling","-0.705","Lower Middling","-0.462","Middling","-0.617","Lower Middling"
"Argyll and Bute Islands","-0.955","Lower Middling","0.306","Middling","-0.417","Middling","-0.719","Lower Middling"
"Barking and Dagenham","-0.691","Lower Middling","-0.775","Lower Middling","-0.602","Lower Middling","-0.661","Lower Middling"
"Barnet","1.38","Favourable","1.411","Favourable","1.46","Favourable","1.101","Favourable"
"Barnsley","-1.102","Unfavourable","-1.069","Unfavourable","-1.018","Unfavourable","-1.174","Unfavourable"
"Bath and North East Somerset","0.871","Upper Middling","0.788","Upper Middling","0.555","Upper Middling","1.083","Favourable"
"Bedford","-0.177","Middling","0.415","Middling","0.256","Middling","0.796","Upper Middling"
"Bexley","0.163","Middling","-0.143","Middling","-0.359","Middling","-0.377","Middling"
"Birmingham","0.107","Middling","-0.428","Middling","-0.128","Middling","-0.063","Middling"
"Blackburn with Darwen","-1.116","Unfavourable","-0.756","Lower Middling","-0.673","Lower Middling","-0.91","Lower Middling"
"Blackpool","-0.919","Lower Middling","-0.849","Lower Middling","-0.964","Lower Middling","-0.846","Lower Middling"
"Blaenau Gwent","-1.233","Unfavourable","-1.52","Least Favourable","-1.173","Unfavourable","-1.173","Unfavourable"
"Bolton","-0.825","Lower Middling","-0.567","Lower Middling","-0.343","Middling","-0.81","Lower Middling"
"Bournemouth, Christchurch and Poole","-0.133","Middling","0.037","Middling","-0.319","Middling","-0.432","Middling"
"Bracknell Forest","0.326","Middling","0.937","Upper Middling","0.922","Upper Middling","0.726","Upper Middling"
"Bradford","-0.424","Middling","-0.618","Lower Middling","-0.569","Lower Middling","-0.504","Lower Middling"
"Brent","0.763","Upper Middling","0.535","Upper Middling","0.464","Middling","0.463","Middling"
"Bridgend","-0.352","Middling","-0.376","Middling","-0.295","Middling","-0.586","Lower Middling"
"Brighton and Hove","1.093","Favourable","1.378","Favourable","1.038","Favourable","1.518","Most Favourable"
"Bristol, City of","1.495","Favourable","1.133","Favourable","1.064","Favourable","1.232","Favourable"
"Bromley","0.985","Upper Middling","1.042","Favourable","0.399","Middling","0.648","Upper Middling"
"Buckinghamshire","0.2","Middling","0.588","Upper Middling","0.423","Middling","0.717","Upper Middling"
"Bury","-0.141","Middling","0.112","Middling","-0.501","Lower Middling","-0.346","Middling"
"Caerphilly","-0.692","Lower Middling","-0.577","Lower Middling","-0.92","Lower Middling","-0.667","Lower Middling"
"Calderdale","-0.396","Middling","0.056","Middling","-0.096","Middling","-0.271","Middling"
"Cambridgeshire CC","0.821","Upper Middling","1.51","Most Favourable","1.621","Most Favourable","1.026","Favourable"
"Camden and City of London","5.828","Most Favourable","6.453","Most Favourable","6.788","Most Favourable","6.841","Most Favourable"
"Cardiff","0.852","Upper Middling","1.03","Favourable","1.057","Favourable","1.452","Favourable"
"Carmarthenshire","-0.654","Lower Middling","-0.705","Lower Middling","-0.206","Middling","-0.257","Middling"
