"Ind_code","Ind_name","Area_type","Area_code","Area_name","Time_period","SEB","Age","Sex","Category_type","Category","Category_type2","Category2","Value","Sample_size","LCI","UCI","SE","Unit","Value_note","split_value"
"MO11","Absolute occupational mobility","National","K02000001","United Kingdom",1991,"Professional","28-37","Men","Occupational class","Working",,,20.23,1426,19.3,21.19,0.482142857142857,"Percentage","Downward","Men - Aged 28-37"
"MO11","Absolute occupational mobility","National","K02000001","United Kingdom",2001,"Professional","28-37","Men","Occupational class","Working",,,21.92,1910,21.05,22.8,0.446428571428571,"Percentage","Downward","Men - Aged 28-37"
"MO11","Absolute occupational mobility","National","K02000001","United Kingdom",2011,"Professional","28-37","Men","Occupational class","Working",,,18,1346,17.14,18.9,0.448979591836734,"Percentage","Downward","Men - Aged 28-37"
"MO11","Absolute occupational mobility","National","K02000001","United Kingdom",2021,"Professional","28-37","Men","Occupational class","Working",,,20.04,1921,19.25,20.86,0.410714285714286,"Percentage","Downward","Men - Aged 28-37"
"MO11","Absolute occupational mobility","National","K02000001","United Kingdom",2001,"Professional","38-47","Men","Occupational class","Working",,,18.42,1249,17.51,19.37,0.474489795918367,"Percentage","Downward","Men - Aged 38-47"
"MO11","Absolute occupational mobility","National","K02000001","United Kingdom",2011,"Professional","38-47","Men","Occupational class","Working",,,18.32,1590,17.51,19.15,0.418367346938775,"Percentage","Downward","Men - Aged 38-47"
"MO11","Absolute occupational mobility","National","K02000001","United Kingdom",2021,"Professional","38-47","Men","Occupational class","Working",,,15.24,1193,14.46,16.06,0.408163265306122,"Percentage","Downward","Men - Aged 38-47"
"MO11","Absolute occupational mobility","National","K02000001","United Kingdom",1991,"Professional","28-37","Women","Occupational class","Working",,,22.11,1440,21.11,23.14,0.517857142857143,"Percentage","Downward","Women - Aged 28-37"
"MO11","Absolute occupational mobility","National","K02000001","United Kingdom",2001,"Professional","28-37","Women","Occupational class","Working",,,22.08,1977,21.23,22.96,0.441326530612245,"Percentage","Downward","Women - Aged 28-37"
"MO11","Absolute occupational mobility","National","K02000001","United Kingdom",2011,"Professional","28-37","Women","Occupational class","Working",,,14.31,1083,13.53,15.12,0.405612244897959,"Percentage","Downward","Women - Aged 28-37"
"MO11","Absolute occupational mobility","National","K02000001","United Kingdom",2021,"Professional","28-37","Women","Occupational class","Working",,,15.38,1506,14.68,16.12,0.367346938775511,"Percentage","Downward","Women - Aged 28-37"
"MO11","Absolute occupational mobility","National","K02000001","United Kingdom",2001,"Professional","38-47","Women","Occupational class","Working",,,22.16,1507,21.18,23.17,0.50765306122449,"Percentage","Downward","Women - Aged 38-47"
"MO11","Absolute occupational mobility","National","K02000001","United Kingdom",2011,"Professional","38-47","Women","Occupational class","Working",,,17.01,1517,16.24,17.81,0.400510204081633,"Percentage","Downward","Women - Aged 38-47"
"MO11","Absolute occupational mobility","National","K02000001","United Kingdom",2021,"Professional","38-47","Women","Occupational class","Working",,,12.88,1017,12.16,13.65,0.380102040816327,"Percentage","Downward","Women - Aged 38-47"
