"Mobility direction","Year","Men","","Women",""
"","","28-37 (%)","38-47 (%)","28-37 (%)","38-47 (%)"
"Upward","2021","35.58","39.2","38.48","40.78"
"","2011","34.41","33.34","35.92","31.52"
"","2001","33","34.16","29.71","27.98"
"","1991","24.63",,"19.84",
"Downward","2021","20.04","15.24","15.38","12.88"
"","2011","18","18.32","14.31","17.01"
"","2001","21.92","18.42","22.08","22.16"
"","1991","20.23",,"22.11",
