"region_fullname","childhood_conditions_group_id_2000_to_2005","childhood_conditions_group_id_2006_to_2011","childhood_conditions_group_id_2012_to_2017","childhood_conditions_group_id_2018_to_2024","childhood_conditions_group_name_2000_to_2005","childhood_conditions_group_name_2006_to_2011","childhood_conditions_group_name_2012_to_2017","childhood_conditions_group_name_2018_to_2024","labour_market_opportunities_group_id_2000_to_2005","labour_market_opportunities_group_id_2006_to_2011","labour_market_opportunities_group_id_2012_to_2017","labour_market_opportunities_group_id_2018_to_2024","labour_market_opportunities_group_name_2000_to_2005","labour_market_opportunities_group_name_2006_to_2011","labour_market_opportunities_group_name_2012_to_2017","labour_market_opportunities_group_name_2018_to_2024","innovation_and_growth_group_id_2000_to_2005","innovation_and_growth_group_id_2006_to_2011","innovation_and_growth_group_id_2012_to_2017","innovation_and_growth_group_id_2018_to_2024","innovation_and_growth_group_name_2000_to_2005","innovation_and_growth_group_name_2006_to_2011","innovation_and_growth_group_name_2012_to_2017","innovation_and_growth_group_name_2018_to_2024","promising_prospects_group_id_2018_to_2020","promising_prospects_group_id_2021_to_2024","promising_prospects_group_name_2018_to_2020","promising_prospects_group_name_2021_to_2024","region_url"
"Brighton and Hove","7","6","6","6","Most Favourable","Favourable","Favourable","Favourable","4","4","4","4","Middling","Middling","Middling","Middling","7","6","6","6","Most Favourable","Favourable","Favourable","Favourable","6","6","Favourable","Favourable","brighton_and_hove"
"Bristol, City of","4","5","5","5","Middling","Upper Middling","Upper Middling","Upper Middling","5","6","6","6","Upper Middling","Favourable","Favourable","Favourable","6","6","6","6","Favourable","Favourable","Favourable","Favourable","4","4","Middling","Middling","bristol,_city_of"
"Bromley","6","7","7","7","Favourable","Most Favourable","Most Favourable","Most Favourable","7","7","7","6","Most Favourable","Most Favourable","Most Favourable","Favourable","5","4","6","5","Upper Middling","Middling","Favourable","Upper Middling","5","5","Upper Middling","Upper Middling","bromley"
"Buckinghamshire","7","7","7","6","Most Favourable","Most Favourable","Most Favourable","Favourable","5","4","5","4","Upper Middling","Middling","Upper Middling","Middling","5","4","5","4","Upper Middling","Middling","Upper Middling","Middling","7","6","Most Favourable","Favourable","buckinghamshire"
"Bury","4","4","4","4","Middling","Middling","Middling","Middling","4","4","4","4","Middling","Middling","Middling","Middling","4","3","4","4","Middling","Lower Middling","Middling","Middling","3","4","Lower Middling","Middling","bury"
"Caerphilly","2","3","3","3","Unfavourable","Lower Middling","Lower Middling","Lower Middling","3","4","3","3","Lower Middling","Middling","Lower Middling","Lower Middling","3","3","3","3","Lower Middling","Lower Middling","Lower Middling","Lower Middling","2","2","Unfavourable","Unfavourable","caerphilly"
"Calderdale","4","4","4","4","Middling","Middling","Middling","Middling","4","4","4","4","Middling","Middling","Middling","Middling","4","4","4","4","Middling","Middling","Middling","Middling","4","4","Middling","Middling","calderdale"
"Cambridgeshire CC","6","6","5","5","Favourable","Favourable","Upper Middling","Upper Middling","5","5","5","4","Upper Middling","Upper Middling","Upper Middling","Middling","6","7","7","5","Favourable","Most Favourable","Most Favourable","Upper Middling","4","4","Middling","Middling","cambridgeshire_cc"
"Camden and City of London","6","7","7","7","Favourable","Most Favourable","Most Favourable","Most Favourable","7","7","7","7","Most Favourable","Most Favourable","Most Favourable","Most Favourable","7","7","7","7","Most Favourable","Most Favourable","Most Favourable","Most Favourable","7","7","Most Favourable","Most Favourable","camden_and_city_of_london"
"Cardiff","5","5","5","5","Upper Middling","Upper Middling","Upper Middling","Upper Middling","5","5","4","4","Upper Middling","Upper Middling","Middling","Middling","6","6","6","5","Favourable","Favourable","Favourable","Upper Middling","4","3","Middling","Lower Middling","cardiff"
"Carmarthenshire","4","4","3","4","Middling","Middling","Lower Middling","Middling","3","2","2","3","Lower Middling","Unfavourable","Unfavourable","Lower Middling","4","4","3","3","Middling","Middling","Lower Middling","Lower Middling","4","3","Middling","Lower Middling","carmarthenshire"
"Central Bedfordshire","5","5","5","5","Upper Middling","Upper Middling","Upper Middling","Upper Middling","5","4","6","5","Upper Middling","Middling","Favourable","Upper Middling","4","4","4","4","Middling","Middling","Middling","Middling","7","5","Most Favourable","Upper Middling","central_bedfordshire"
