"Rank","University name","Equal access"
1,"The University of Bradford",189
2,"Brunel University London",187
3,"Middlesex University",184
4,"Roehampton University",175
5,"Kingston University",154
6,"The University of Wolverhampton",153
7,"The University of Westminster",151
8,"The University of Northampton",149
9,"Coventry University",141
9,"The University of East London",141
11,"The University of West London",136
12,"University of Bedfordshire",135
13,"University of Hertfordshire",126
14,"London South Bank University",124
15,"The University of Huddersfield",119
16,"Canterbury Christ Church University",117
17,"The University of Greenwich",110
18,"City St George's, University of London",109
19,"The University of Essex",108
20,"Aston University",99
20,"Staffordshire University",99
22,"The University of Sunderland",91
23,"The University of Central Lancashire",87
24,"The University of Kent",84
24,"Teesside University",84
26,"Buckinghamshire New University",81
27,"Leeds Trinity University",76
28,"Birmingham City University",71
29,"St Mary's University, Twickenham",69
30,"University for the Creative Arts",67
31,"De Montfort University",66
31,"The University of Salford",66
33,"University of Derby",63
33,"Goldsmiths College",63
33,"Liverpool Hope University",63
36,"Queen Mary University of London",48
37,"The University of Warwick",47
38,"Norwich University of the Arts",46
38,"The University of Surrey",46
40,"University of Worcester",45
41,"The University of Brighton",41
42,"St George's, University of London",38
43,"York St John University",34
44,"Edge Hill University",33
45,"Keele University",32
45,"The University of Leicester",32
47,"University of Cumbria",30
48,"Anglia Ruskin University",27
48,"University of Chester",27
48,"The University of Hull",27
48,"The Manchester Metropolitan University",27
48,"Solent University",27
48,"The University of Southampton",27
54,"University of Gloucestershire",20
55,"Royal Holloway and Bedford New College",17
56,"University of Northumbria at Newcastle",15
57,"Bournemouth University",14
57,"Sheffield Hallam University",14
59,"The University of Bristol",9
60,"The University of Chichester",7
61,"The University of Lincoln",3
61,"The University of Winchester",3
63,"The Nottingham Trent University",2
64,"The University of Sussex",0
65,"Liverpool John Moores University",-1
65,"University of Plymouth",-1
65,"University of the West of England, Bristol",-1
68,"Bath Spa University",-2
68,"Leeds Beckett University",-2
70,"Imperial College of Science, Technology and Medicine",-4
70,"The University of Reading",-4
72,"Ravensbourne University London",-7
73,"The University of Cambridge",-11
73,"The University of East Anglia",-11
75,"The University of Oxford",-12
76,"University of Nottingham",-14
77,"London School of Economics and Political Science",-17
78,"Newcastle University",-24
79,"Loughborough University",-33
80,"King's College London",-37
81,"The University of Sheffield",-38
82,"Falmouth University",-47
83,"University of Durham",-49
84,"The University of York",-53
85,"The University of Lancaster",-55
86,"The University of Exeter",-57
87,"University of Manchester",-58
88,"Leeds Arts University",-61
89,"University College London",-66
90,"University of the Arts, London",-79
91,"The University of Leeds",-89
92,"The University of Liverpool",-92
93,"Oxford Brookes University",-93
94,"The University of Birmingham",-103
