"Highest qualification","Disabled (£)","Not disabled (£)"
"Higher degree",16.884,16.597
"First degree",13.728,15.191
"Further education below degree",11.563,13.31
"A level and equivalent",11.548,12.147
"O level, GCSE and equivalent",10.818,11.659
"Lower level (below GCSE grade 1)",10.153,10.379
