"Region","2018 to 2024","","2012 to 2017","","2006 to 2011","","2000 to 2005",""
"","Index of 'conditions of childhood' ('Z-scores')","Group","Index of 'conditions of childhood' ('Z-scores')","Group","Index of 'conditions of childhood' ('Z-scores')","Group","Index of 'conditions of childhood' ('Z-scores')","Group"
"Enfield","-0.037","Middling","-0.095","Middling","0.101","Middling","0.431","Middling"
"Essex","0.324","Middling","0.231","Middling","0.418","Middling","0.422","Middling"
"Falkirk","-0.351","Middling","-0.318","Middling","0.05","Middling","-0.32","Middling"
"Fife","-0.181","Middling","-0.29","Middling","0.088","Middling","-0.491","Middling"
"Flintshire","-0.579","Lower Middling","-0.8","Lower Middling","-0.003","Middling","-0.349","Middling"
"Gateshead","-0.702","Lower Middling","-0.749","Lower Middling","-1.025","Unfavourable","-0.806","Lower Middling"
"Glasgow City","-0.827","Lower Middling","-0.416","Middling","-0.679","Lower Middling","-0.821","Lower Middling"
"Gloucestershire CC","0.404","Middling","0.435","Middling","0.96","Upper Middling","0.615","Upper Middling"
"Greenwich","0.624","Upper Middling","0.13","Middling","0.598","Upper Middling","0.221","Middling"
"Gwynedd","-0.369","Middling","-0.924","Lower Middling","-0.667","Lower Middling","-0.489","Middling"
"Hackney","0.563","Upper Middling","-0.197","Middling","0.223","Middling","-0.679","Lower Middling"
"Halton","-0.698","Lower Middling","-0.821","Lower Middling","-1.234","Unfavourable","-0.801","Lower Middling"
"Hammersmith and Fulham","2.173","Most Favourable","1.963","Most Favourable","2.248","Most Favourable","1.625","Most Favourable"
"Hampshire","0.903","Upper Middling","0.89","Upper Middling","0.943","Upper Middling","0.823","Upper Middling"
"Haringey","0.887","Upper Middling","0.554","Upper Middling","0.733","Upper Middling","0.403","Middling"
"Harrow","1.241","Favourable","0.664","Upper Middling","0.889","Upper Middling","1.61","Most Favourable"
"Hartlepool","-1.265","Unfavourable","-1.326","Unfavourable","-0.753","Lower Middling","-1.187","Unfavourable"
"Havering","0.661","Upper Middling","0.667","Upper Middling","-0.043","Middling","0.238","Middling"
"Herefordshire, County of","-0.316","Middling","-0.423","Middling","-0.272","Middling","-0.252","Middling"
"Hertfordshire CC","1.423","Favourable","1.477","Favourable","1.709","Most Favourable","1.579","Most Favourable"
"Highland","0.034","Middling","-0.391","Middling","0.013","Middling","-0.417","Middling"
"Hillingdon","0.036","Middling","0.211","Middling","0.095","Middling","0.339","Middling"
"Hounslow","0.528","Upper Middling","0.633","Upper Middling","0.449","Middling","0.55","Upper Middling"
"Inverclyde","-0.535","Lower Middling","-0.68","Lower Middling","-0.879","Lower Middling","-0.456","Middling"
"Isle of Anglesey","-0.14","Middling","-0.419","Middling","-1.009","Unfavourable","-0.794","Lower Middling"
"Isle of Wight","-0.837","Lower Middling","0.018","Middling","-0.921","Lower Middling","-0.612","Lower Middling"
"Islington","1.596","Most Favourable","0.46","Middling","1.49","Favourable","0.619","Upper Middling"
"Kensington and Chelsea","2.052","Most Favourable","1.688","Most Favourable","2.391","Most Favourable","2.034","Most Favourable"
"Kent","0.433","Middling","0.2","Middling","0.298","Middling","0.207","Middling"
"Kingston upon Hull, City of","-1.927","Least Favourable","-2.029","Least Favourable","-1.911","Least Favourable","-1.758","Least Favourable"
"Kingston upon Thames","1.942","Most Favourable","1.931","Most Favourable","2.296","Most Favourable","2.291","Most Favourable"
"Kirklees","-0.568","Lower Middling","-0.459","Middling","-0.323","Middling","-0.403","Middling"
"Knowsley","-0.892","Lower Middling","-1.173","Unfavourable","-1.473","Unfavourable","-1.344","Unfavourable"
"Lambeth","1.771","Most Favourable","0.857","Upper Middling","0.72","Upper Middling","0.396","Middling"
"Lancashire","-0.412","Middling","-0.306","Middling","-0.177","Middling","-0.083","Middling"
"Leeds","0.39","Middling","0.014","Middling","0.038","Middling","0.099","Middling"
"Leicester","-1.801","Least Favourable","-1.742","Least Favourable","-1.485","Unfavourable","-1.372","Unfavourable"
"Leicestershire CC","0.332","Middling","0.295","Middling","0.474","Middling","0.416","Middling"
"Lewisham","1.351","Favourable","1.289","Favourable","0.765","Upper Middling","0.581","Upper Middling"
"Lincolnshire CC","-0.831","Lower Middling","-0.643","Lower Middling","-0.327","Middling","-0.633","Lower Middling"
"Liverpool","0.11","Middling","-0.479","Middling","-0.962","Lower Middling","-0.901","Lower Middling"
