"Ethnicity","Lower working (%)","Higher professional (%)"
"Bangladeshi",18.757,50.401
"Chinese",26.729,61.621
"Indian",31.941,67.379
"Pakistani",18.921,50.669
"Black African",22.851,56.589
"Black Caribbean",22.811,56.534
"Mixed",26.761,61.659
"White British",25.71,60.367
"White other",22.794,56.51
"Other",22.205,55.679
