"measure_code","measure_title","chart_type","area_code","area_type","area_name","primary_split_type","primary_split_value","secondary_split_type","secondary_split_value","tertiary_split_type","tertiary_split_value","fourth_split_type","fourth_split_value","time_period","value","lci","uci","sample_size","unit","value_note","average_window","background_label"
"in33","Occupational level of young people","trend_moving_average","K02000001","country","United Kingdom","year",2016,"seb","Intermediate","profession","Higher professional",,,"2014-2025",9.676,7.876,11.895,895,"Average","3-year moving average","2014 to 2016","Intermediate background"
"in33","Occupational level of young people","trend_moving_average","K02000001","country","United Kingdom","year",2017,"seb","Intermediate","profession","Higher professional",,,"2014-2025",10.295,8.401,12.551,842,"Average","3-year moving average","2015 to 2017","Intermediate background"
"in33","Occupational level of young people","trend_moving_average","K02000001","country","United Kingdom","year",2018,"seb","Intermediate","profession","Higher professional",,,"2014-2025",10.573,8.636,12.923,775,"Average","3-year moving average","2016 to 2018","Intermediate background"
"in33","Occupational level of young people","trend_moving_average","K02000001","country","United Kingdom","year",2019,"seb","Intermediate","profession","Higher professional",,,"2014-2025",11.674,9.584,14.009,762,"Average","3-year moving average","2017 to 2019","Intermediate background"
"in33","Occupational level of young people","trend_moving_average","K02000001","country","United Kingdom","year",2020,"seb","Intermediate","profession","Higher professional",,,"2014-2025",13.323,11.066,15.856,653,"Average","3-year moving average","2018 to 2020","Intermediate background"
"in33","Occupational level of young people","trend_moving_average","K02000001","country","United Kingdom","year",2021,"seb","Intermediate","profession","Higher professional",,,"2014-2025",15.434,13.068,18.124,642,"Average","3-year moving average","2019 to 2021","Intermediate background"
"in33","Occupational level of young people","trend_moving_average","K02000001","country","United Kingdom","year",2022,"seb","Intermediate","profession","Higher professional",,,"2014-2025",17.839,15.278,20.697,550,"Average","3-year moving average","2020 to 2022","Intermediate background"
"in33","Occupational level of young people","trend_moving_average","K02000001","country","United Kingdom","year",2023,"seb","Intermediate","profession","Higher professional",,,"2014-2025",18.826,16.191,21.779,490,"Average","3-year moving average","2021 to 2023","Intermediate background"
"in33","Occupational level of young people","trend_moving_average","K02000001","country","United Kingdom","year",2024,"seb","Intermediate","profession","Higher professional",,,"2014-2025",19.265,16.55,22.179,425,"Average","3-year moving average","2022 to 2024","Intermediate background"
"in33","Occupational level of young people","trend_moving_average","K02000001","country","United Kingdom","year",2025,"seb","Intermediate","profession","Higher professional",,,"2014-2025",18.055,15.472,20.864,466,"Average","3-year moving average","2023 to 2025","Intermediate background"
"in33","Occupational level of young people","trend_moving_average","K02000001","country","United Kingdom","year",2016,"seb","Intermediate","profession","Lower professional",,,"2014-2025",24.816,22.045,27.838,895,"Average","3-year moving average","2014 to 2016","Intermediate background"
"in33","Occupational level of young people","trend_moving_average","K02000001","country","United Kingdom","year",2017,"seb","Intermediate","profession","Lower professional",,,"2014-2025",25.865,23.01,28.921,842,"Average","3-year moving average","2015 to 2017","Intermediate background"
"in33","Occupational level of young people","trend_moving_average","K02000001","country","United Kingdom","year",2018,"seb","Intermediate","profession","Lower professional",,,"2014-2025",25.411,22.475,28.468,775,"Average","3-year moving average","2016 to 2018","Intermediate background"
"in33","Occupational level of young people","trend_moving_average","K02000001","country","United Kingdom","year",2019,"seb","Intermediate","profession","Lower professional",,,"2014-2025",25.288,22.378,28.319,762,"Average","3-year moving average","2017 to 2019","Intermediate background"
"in33","Occupational level of young people","trend_moving_average","K02000001","country","United Kingdom","year",2020,"seb","Intermediate","profession","Lower professional",,,"2014-2025",26.565,23.588,29.773,653,"Average","3-year moving average","2018 to 2020","Intermediate background"
"in33","Occupational level of young people","trend_moving_average","K02000001","country","United Kingdom","year",2021,"seb","Intermediate","profession","Lower professional",,,"2014-2025",27.578,24.58,30.797,642,"Average","3-year moving average","2019 to 2021","Intermediate background"
"in33","Occupational level of young people","trend_moving_average","K02000001","country","United Kingdom","year",2022,"seb","Intermediate","profession","Lower professional",,,"2014-2025",26.768,23.798,30.043,550,"Average","3-year moving average","2020 to 2022","Intermediate background"
"in33","Occupational level of young people","trend_moving_average","K02000001","country","United Kingdom","year",2023,"seb","Intermediate","profession","Lower professional",,,"2014-2025",26.971,23.926,30.247,490,"Average","3-year moving average","2021 to 2023","Intermediate background"
"in33","Occupational level of young people","trend_moving_average","K02000001","country","United Kingdom","year",2024,"seb","Intermediate","profession","Lower professional",,,"2014-2025",26.731,23.682,29.984,425,"Average","3-year moving average","2022 to 2024","Intermediate background"
"in33","Occupational level of young people","trend_moving_average","K02000001","country","United Kingdom","year",2025,"seb","Intermediate","profession","Lower professional",,,"2014-2025",28.065,25.03,31.307,466,"Average","3-year moving average","2023 to 2025","Intermediate background"
"in33","Occupational level of young people","trend_moving_average","K02000001","country","United Kingdom","year",2016,"seb","Intermediate","profession","Intermediate",,,"2014-2025",23.173,20.427,26.085,895,"Average","3-year moving average","2014 to 2016","Intermediate background"
"in33","Occupational level of young people","trend_moving_average","K02000001","country","United Kingdom","year",2017,"seb","Intermediate","profession","Intermediate",,,"2014-2025",22.844,20.166,25.843,842,"Average","3-year moving average","2015 to 2017","Intermediate background"
"in33","Occupational level of young people","trend_moving_average","K02000001","country","United Kingdom","year",2018,"seb","Intermediate","profession","Intermediate",,,"2014-2025",21.934,19.183,24.888,775,"Average","3-year moving average","2016 to 2018","Intermediate background"
"in33","Occupational level of young people","trend_moving_average","K02000001","country","United Kingdom","year",2019,"seb","Intermediate","profession","Intermediate",,,"2014-2025",22.889,20.136,25.887,762,"Average","3-year moving average","2017 to 2019","Intermediate background"
