"measure_code","measure_title","chart_type","area_code","area_type","area_name","primary_split_type","primary_split_value","secondary_split_type","secondary_split_value","tertiary_split_type","tertiary_split_value","fourth_split_type","fourth_split_value","time_period","value","lci","uci","sample_size","unit","value_note","average_window","background_label"
"in33","Occupational level of young people","trend_moving_average","K02000001","country","United Kingdom","year",2016,"seb","Lower working","profession","Higher professional",,,"2014-2025",5.393,3.919,7.264,786,"Average","3-year moving average","2014 to 2016","Lower working background"
"in33","Occupational level of young people","trend_moving_average","K02000001","country","United Kingdom","year",2017,"seb","Lower working","profession","Higher professional",,,"2014-2025",5.064,3.676,6.932,756,"Average","3-year moving average","2015 to 2017","Lower working background"
"in33","Occupational level of young people","trend_moving_average","K02000001","country","United Kingdom","year",2018,"seb","Lower working","profession","Higher professional",,,"2014-2025",4.826,3.391,6.637,698,"Average","3-year moving average","2016 to 2018","Lower working background"
"in33","Occupational level of young people","trend_moving_average","K02000001","country","United Kingdom","year",2019,"seb","Lower working","profession","Higher professional",,,"2014-2025",5.372,3.917,7.378,666,"Average","3-year moving average","2017 to 2019","Lower working background"
"in33","Occupational level of young people","trend_moving_average","K02000001","country","United Kingdom","year",2020,"seb","Lower working","profession","Higher professional",,,"2014-2025",5.878,4.23,7.955,546,"Average","3-year moving average","2018 to 2020","Lower working background"
"in33","Occupational level of young people","trend_moving_average","K02000001","country","United Kingdom","year",2021,"seb","Lower working","profession","Higher professional",,,"2014-2025",7.657,5.833,10.057,505,"Average","3-year moving average","2019 to 2021","Lower working background"
"in33","Occupational level of young people","trend_moving_average","K02000001","country","United Kingdom","year",2022,"seb","Lower working","profession","Higher professional",,,"2014-2025",7.437,5.503,9.783,414,"Average","3-year moving average","2020 to 2022","Lower working background"
"in33","Occupational level of young people","trend_moving_average","K02000001","country","United Kingdom","year",2023,"seb","Lower working","profession","Higher professional",,,"2014-2025",8.501,6.507,11.018,365,"Average","3-year moving average","2021 to 2023","Lower working background"
"in33","Occupational level of young people","trend_moving_average","K02000001","country","United Kingdom","year",2024,"seb","Lower working","profession","Higher professional",,,"2014-2025",7.828,5.883,10.255,310,"Average","3-year moving average","2022 to 2024","Lower working background"
"in33","Occupational level of young people","trend_moving_average","K02000001","country","United Kingdom","year",2025,"seb","Lower working","profession","Higher professional",,,"2014-2025",9.155,7.126,11.716,340,"Average","3-year moving average","2023 to 2025","Lower working background"
"in33","Occupational level of young people","trend_moving_average","K02000001","country","United Kingdom","year",2016,"seb","Lower working","profession","Lower professional",,,"2014-2025",14.61,12.252,17.392,786,"Average","3-year moving average","2014 to 2016","Lower working background"
"in33","Occupational level of young people","trend_moving_average","K02000001","country","United Kingdom","year",2017,"seb","Lower working","profession","Lower professional",,,"2014-2025",15.935,13.514,18.823,756,"Average","3-year moving average","2015 to 2017","Lower working background"
"in33","Occupational level of young people","trend_moving_average","K02000001","country","United Kingdom","year",2018,"seb","Lower working","profession","Lower professional",,,"2014-2025",17.509,14.802,20.423,698,"Average","3-year moving average","2016 to 2018","Lower working background"
"in33","Occupational level of young people","trend_moving_average","K02000001","country","United Kingdom","year",2019,"seb","Lower working","profession","Lower professional",,,"2014-2025",18.378,15.698,21.486,666,"Average","3-year moving average","2017 to 2019","Lower working background"
"in33","Occupational level of young people","trend_moving_average","K02000001","country","United Kingdom","year",2020,"seb","Lower working","profession","Lower professional",,,"2014-2025",19.233,16.402,22.523,546,"Average","3-year moving average","2018 to 2020","Lower working background"
"in33","Occupational level of young people","trend_moving_average","K02000001","country","United Kingdom","year",2021,"seb","Lower working","profession","Lower professional",,,"2014-2025",18.501,15.707,21.769,505,"Average","3-year moving average","2019 to 2021","Lower working background"
"in33","Occupational level of young people","trend_moving_average","K02000001","country","United Kingdom","year",2022,"seb","Lower working","profession","Lower professional",,,"2014-2025",19.591,16.555,22.93,414,"Average","3-year moving average","2020 to 2022","Lower working background"
"in33","Occupational level of young people","trend_moving_average","K02000001","country","United Kingdom","year",2023,"seb","Lower working","profession","Lower professional",,,"2014-2025",18.963,15.97,22.209,365,"Average","3-year moving average","2021 to 2023","Lower working background"
"in33","Occupational level of young people","trend_moving_average","K02000001","country","United Kingdom","year",2024,"seb","Lower working","profession","Lower professional",,,"2014-2025",21.218,18.088,24.628,310,"Average","3-year moving average","2022 to 2024","Lower working background"
"in33","Occupational level of young people","trend_moving_average","K02000001","country","United Kingdom","year",2025,"seb","Lower working","profession","Lower professional",,,"2014-2025",22.154,19.083,25.592,340,"Average","3-year moving average","2023 to 2025","Lower working background"
"in33","Occupational level of young people","trend_moving_average","K02000001","country","United Kingdom","year",2016,"seb","Lower working","profession","Intermediate",,,"2014-2025",18.603,15.905,21.541,786,"Average","3-year moving average","2014 to 2016","Lower working background"
"in33","Occupational level of young people","trend_moving_average","K02000001","country","United Kingdom","year",2017,"seb","Lower working","profession","Intermediate",,,"2014-2025",19.929,17.166,22.932,756,"Average","3-year moving average","2015 to 2017","Lower working background"
"in33","Occupational level of young people","trend_moving_average","K02000001","country","United Kingdom","year",2018,"seb","Lower working","profession","Intermediate",,,"2014-2025",19.447,16.715,22.575,698,"Average","3-year moving average","2016 to 2018","Lower working background"
"in33","Occupational level of young people","trend_moving_average","K02000001","country","United Kingdom","year",2019,"seb","Lower working","profession","Intermediate",,,"2014-2025",18.714,15.958,21.778,666,"Average","3-year moving average","2017 to 2019","Lower working background"
"in33","Occupational level of young people","trend_moving_average","K02000001","country","United Kingdom","year",2020,"seb","Lower working","profession","Intermediate",,,"2014-2025",19.248,16.402,22.523,546,"Average","3-year moving average","2018 to 2020","Lower working background"
"in33","Occupational level of young people","trend_moving_average","K02000001","country","United Kingdom","year",2021,"seb","Lower working","profession","Intermediate",,,"2014-2025",19.735,16.835,23.039,505,"Average","3-year moving average","2019 to 2021","Lower working background"
