"Socio-economic background","Occupation","","","",""
"","Higher professional (%)","Lower professional (%)","Intermediate (%)","Higher working (%)","Lower working (%)"
"Higher professional","32.269","32.209","12.986","11.494","11.043"
"Lower professional","23.966","30.148","20.505","12.199","13.182"
"Intermediate","16.236","27.053","23.211","13.549","19.951"
"Higher working","13.172","23.386","18.834","18.755","25.853"
"Lower working","11.074","23.533","15.198","18.198","31.997"
