"Socio-economic background","Disability","Lower working","","","Higher working","","","Intermediate","","","Lower professional","","","Higher professional","",""
"","","2014 to 2019 (%)","2020 to 2025 (%)","2014 to 2025 (combined) (%)","2014 to 2019 (%)","2020 to 2025 (%)","2014 to 2025 (combined) (%)","2014 to 2019 (%)","2020 to 2025 (%)","2014 to 2025 (combined) (%)","2014 to 2019 (%)","2020 to 2025 (%)","2014 to 2025 (combined) (%)","2014 to 2019 (%)","2020 to 2025 (%)","2014 to 2025 (combined) (%)"
"Higher professional","Disabled","20.432","28.349","25.627","15.846","9.125","11.436","19.436","16.194","17.309","29.535","25.698","27.017","14.751","20.635","18.612"
"","Not disabled","11.62","9.408","10.478","12.376","9.084","10.676","17.617","15.62","16.586","34.797","34.248","34.514","23.59","31.64","27.746"
"Lower professional","Disabled","26.504","23.523","24.643","20.288","15.984","17.601","19.13","18.469","18.717","26.502","27.447","27.092","7.577","14.577","11.947"
"","Not disabled","12.872","12.553","12.713","16.673","11.675","14.182","20.064","18.799","19.434","32.517","32.924","32.72","17.874","24.049","20.951"
"Intermediate","Disabled","29.911","29.73","29.801","26.551","14.327","19.11","20.539","24.164","22.746","17.543","23.396","21.106","5.455","8.383","7.237"
"","Not disabled","17.492","15.296","16.486","21.675","15.139","18.68","23.364","20.739","22.162","26.082","28.406","27.147","11.387","20.419","15.526"
"Higher working","Disabled","36.177","35.863","36.002","27.091","21.737","24.112","17.088","13.888","15.307","15.491","17.901","16.832","4.153","10.612","7.747"
"","Not disabled","18.042","17.316","17.738","28.84","19.889","25.092","20.104","19.688","19.93","23.331","29.036","25.72","9.683","14.071","11.52"
"Lower working","Disabled","46.382","48.756","47.71","24.851","19.331","21.763","16.24","14.114","15.051","9.84","14.168","12.261","2.687","3.63","3.215"
"","Not disabled","27.543","24.111","26.061","29.177","21.318","25.783","19.178","20.764","19.863","18.041","23.546","20.418","6.062","10.261","7.875"
