"Ethnicity","Lower working (%)","Higher professional (%)"
"Bangladeshi",74.06,88.906
"Chinese",60.548,81.16
"Indian",83.293,93.33
"Pakistani",70.148,86.835
"Black African",83.002,93.2
"Black Caribbean",90.207,96.276
"Mixed",81.576,92.553
"White British",86.751,94.84
"White other",87.38,95.106
"Other",71.092,87.346
