"ethnicity","value_2018_19","value_2024_25"
"Any other ethnic group",51,49
"Asian - Any other Asian",57,58
"Asian - Bangladeshi",66,69
"Asian - Chinese",75,80
"Asian - Indian",62,67
"Asian - Pakistani",55,58
"Black - Any other Black background",54,55
"Black - Black African",60,62
"Black - Black Caribbean",47,43
"Mixed - Any other Mixed background",52,54
"Mixed - White and Asian",53,55
"Mixed - White and Black African",53,53
"White - Any other White background",49,52
"White - Gypsy or Roma",17,18
"White - Irish",47,38
"White - Traveller of Irish heritage",23,19
"White - White British",44,43
