"Year","Disadvantaged","","Not known to be disadvantaged",""
"","Boys (%)","Girls (%)","Boys (%)","Girls (%)"
"2024/25","44","51","66","72"
"2023/24","42","49","64","71"
"2022/23","41","47","63","70"
"2021/22","39","47","61","70"
"2020/21","0","0","0","0"
"2019/20","0","0","0","0"
"2018/19","46","57","66","76"
"2017/18","46","55","67","74"
"2016/17","43","52","64","71"
"2015/16","36","43","56","64"
