"Ethnicity","2018/19 (%)","2024/25 (%)"
"Any other Asian",57,58
"Any other Black background",54,55
"Any other ethnic group",51,49
"Any other Mixed background",52,54
"Any other White background",49,52
"Bangladeshi",66,69
"Black African",60,62
"Black Caribbean",47,43
"Chinese",75,80
"Gypsy or Roma",17,18
"Indian",62,67
"Pakistani",55,58
"Traveller of Irish heritage",23,19
"White and Asian",53,55
"White and Black African",53,53
"White British",44,43
"White Irish",47,38
