"measure_code","measure_title","chart_type","area_code","area_type","area_name","primary_split_type","primary_split_value","secondary_split_type","secondary_split_value","tertiary_split_type","tertiary_split_value","fourth_split_type","fourth_split_value","time_period","value","lci","uci","sample_size","unit","value_note","value_for_chart","split_value"
"in12","Attainment at age 11","sex","E92000001","Country","England","sex","Girls","seb","Not known to be disadvantaged",,,,,"2015/16",64,,,"194943","Percentage",,"64","Girls - Not known to be disadvantaged"
"in12","Attainment at age 11","sex","E92000001","Country","England","sex","Girls","seb","Not known to be disadvantaged",,,,,"2016/17",71,,,"199817","Percentage",,"71","Girls - Not known to be disadvantaged"
"in12","Attainment at age 11","sex","E92000001","Country","England","sex","Girls","seb","Not known to be disadvantaged",,,,,"2017/18",74,,,"209239","Percentage",,"74","Girls - Not known to be disadvantaged"
"in12","Attainment at age 11","sex","E92000001","Country","England","sex","Girls","seb","Not known to be disadvantaged",,,,,"2018/19",76,,,"218793","Percentage",,"76","Girls - Not known to be disadvantaged"
"in12","Attainment at age 11","sex","E92000001","Country","England","sex","Girls","seb","Not known to be disadvantaged",,,,,"2019/20",,,,"x","Percentage",,"x","Girls - Not known to be disadvantaged"
"in12","Attainment at age 11","sex","E92000001","Country","England","sex","Girls","seb","Not known to be disadvantaged",,,,,"2020/21",,,,"x","Percentage",,"x","Girls - Not known to be disadvantaged"
"in12","Attainment at age 11","sex","E92000001","Country","England","sex","Girls","seb","Not known to be disadvantaged",,,,,"2021/22",70,,,"227768","Percentage",,"70","Girls - Not known to be disadvantaged"
"in12","Attainment at age 11","sex","E92000001","Country","England","sex","Girls","seb","Not known to be disadvantaged",,,,,"2022/23",70,,,"228705","Percentage",,"70","Girls - Not known to be disadvantaged"
"in12","Attainment at age 11","sex","E92000001","Country","England","sex","Girls","seb","Not known to be disadvantaged",,,,,"2023/24",71,,,"224425","Percentage",,"71","Girls - Not known to be disadvantaged"
"in12","Attainment at age 11","sex","E92000001","Country","England","sex","Girls","seb","Not known to be disadvantaged",,,,,"2024/25",72,,,"216954","Percentage",,"72","Girls - Not known to be disadvantaged"
