"Region","FSM eligible (%)","Not FSM eligible (%)"
"Bedfordshire and Hertfordshire",41.918,66.39
"Berkshire, Buckinghamshire and Oxfordshire",44.345,69.405
"Cheshire",44.938,70.164
"Cornwall and Isles of Scilly",46.177,65.86
"Cumbria",37.221,62.233
"Derbyshire and Nottinghamshire",45.571,68.574
"Devon",43.123,65.179
"Dorset and Somerset",40.384,65.297
"East Anglia",41.855,64.491
"East Yorkshire and Northern Lincolnshire",50.641,68.784
"Essex",45.062,70.057
"Gloucestershire, Wiltshire and Bath/Bristol area",39.711,66.722
"Greater Manchester",49.379,70.076
"Hampshire and Isle of Wight",42.425,67.359
"Herefordshire, Worcestershire and Warwickshire",40.325,66.44
"Inner London - East",62.743,77.382
"Inner London - West",60.758,80.324
"Kent",43.282,69.781
"Lancashire",44.266,67.152
"Leicestershire, Rutland and Northamptonshire",45.688,66.565
"Lincolnshire",44,65.548
"Merseyside",44.569,67.08
"North Yorkshire",39.188,66.698
"Northumberland, and Tyne and Wear",48.601,71.789
"Outer London - East and North East",58.666,75.049
"Outer London - South",53.516,75.373
"Outer London - West and North West",56.273,75.693
"Shropshire and Staffordshire",46.435,67.439
"South Yorkshire",46.239,69.71
"Surrey, East and West Sussex",41.281,68.44
"Tees Valley and Durham",50.174,71.615
"West Midlands",52.788,69.953
"West Yorkshire",46.532,68.658
