"Ethnicity","Lower working (%)","Higher professional (%)"
"Bangladeshi",18.289,50.248
"Chinese",26.5,61.932
"Indian",31.264,67.239
"Pakistani",17.944,49.666
"Black African",22.896,57.263
"Black Caribbean",23.36,57.901
"Mixed",27.075,62.621
"White British",24.841,59.861
"White other",21.235,54.885
"Other",21.435,55.18
