"Year","Lower working (£)","Higher working (£)","Intermediate (£)","Lower professional (£)","Higher professional (£)"
"2022 to 2024",14.238,15.765,17.079,18.013,19.495
"2021 to 2023",14.309,15.343,16.904,18.445,19.765
"2020 to 2022",14.701,15.637,16.6,18.455,19.676
"2019 to 2021",14.488,15.468,16.606,18.092,20.144
"2018 to 2020",13.845,15.269,16.287,17.73,19.904
"2017 to 2019",13.17,14.81,15.926,17.389,19.477
"2016 to 2018",12.988,14.21,15.157,17.327,18.88
"2015 to 2017",12.838,14.368,14.905,17.174,18.262
"2014 to 2016",12.804,13.985,14.544,16.998,18.48
