"Ethnicity","Lower working (£)","Higher professional (£)"
"Bangladeshi",10.951,15.105
"Chinese",14.658,20.219
"Indian",13.739,18.952
"Pakistani",12.18,16.801
"Black African",14.079,19.421
"Black Caribbean",12.837,17.707
"Mixed",13.613,18.778
"White British",13.269,18.304
"White other",13.391,18.471
"Other",13.113,18.087
