"Socio-economic background","Disabled (£)","Not disabled (£)"
"Higher professional",16.58,19.717
"Lower professional",15.849,17.859
"Intermediate",15.094,16.072
"Higher working",13.199,15.133
"Lower working",12.958,13.751
