"measure_code","measure_title","chart_type","area_code","area_type","area_name","primary_split_type","primary_split_value","secondary_split_type","secondary_split_value","tertiary_split_type","tertiary_split_value","fourth_split_type","fourth_split_value","time_period","value","lci","uci","sample_size","unit","value_note","average_window"
"in34","Earnings of young people","trend_moving_average","K02000001","country","United Kingdom","year",2017,"seb","Lower professional",,,,,"2014 to 2024",17.174,16.025,18.324,199,"Average","3-year moving average","2015 to 2017"
"in34","Earnings of young people","trend_moving_average","K02000001","country","United Kingdom","year",2018,"seb","Lower professional",,,,,"2014 to 2024",17.327,16.287,18.366,202,"Average","3-year moving average","2016 to 2018"
"in34","Earnings of young people","trend_moving_average","K02000001","country","United Kingdom","year",2019,"seb","Lower professional",,,,,"2014 to 2024",17.389,16.328,18.451,176,"Average","3-year moving average","2017 to 2019"
"in34","Earnings of young people","trend_moving_average","K02000001","country","United Kingdom","year",2020,"seb","Lower professional",,,,,"2014 to 2024",17.73,16.614,18.847,171,"Average","3-year moving average","2018 to 2020"
"in34","Earnings of young people","trend_moving_average","K02000001","country","United Kingdom","year",2021,"seb","Lower professional",,,,,"2014 to 2024",18.092,16.912,19.272,178,"Average","3-year moving average","2019 to 2021"
"in34","Earnings of young people","trend_moving_average","K02000001","country","United Kingdom","year",2022,"seb","Lower professional",,,,,"2014 to 2024",18.455,16.994,19.916,137,"Average","3-year moving average","2020 to 2022"
"in34","Earnings of young people","trend_moving_average","K02000001","country","United Kingdom","year",2023,"seb","Lower professional",,,,,"2014 to 2024",18.445,16.878,20.012,78,"Average","3-year moving average","2021 to 2023"
"in34","Earnings of young people","trend_moving_average","K02000001","country","United Kingdom","year",2024,"seb","Lower professional",,,,,"2014 to 2024",18.013,16.431,19.595,133,"Average","3-year moving average","2022 to 2024"
"in34","Earnings of young people","trend_moving_average","K02000001","country","United Kingdom","year",2016,"seb","Higher professional",,,,,"2014 to 2024",18.48,17.253,19.707,166,"Average","3-year moving average","2014 to 2016"
"in34","Earnings of young people","trend_moving_average","K02000001","country","United Kingdom","year",2017,"seb","Higher professional",,,,,"2014 to 2024",18.262,17.141,19.383,185,"Average","3-year moving average","2015 to 2017"
"in34","Earnings of young people","trend_moving_average","K02000001","country","United Kingdom","year",2018,"seb","Higher professional",,,,,"2014 to 2024",18.88,17.671,20.09,156,"Average","3-year moving average","2016 to 2018"
"in34","Earnings of young people","trend_moving_average","K02000001","country","United Kingdom","year",2019,"seb","Higher professional",,,,,"2014 to 2024",19.477,18.047,20.908,193,"Average","3-year moving average","2017 to 2019"
"in34","Earnings of young people","trend_moving_average","K02000001","country","United Kingdom","year",2020,"seb","Higher professional",,,,,"2014 to 2024",19.904,18.376,21.432,162,"Average","3-year moving average","2018 to 2020"
"in34","Earnings of young people","trend_moving_average","K02000001","country","United Kingdom","year",2021,"seb","Higher professional",,,,,"2014 to 2024",20.144,18.646,21.642,189,"Average","3-year moving average","2019 to 2021"
"in34","Earnings of young people","trend_moving_average","K02000001","country","United Kingdom","year",2022,"seb","Higher professional",,,,,"2014 to 2024",19.676,18.268,21.084,144,"Average","3-year moving average","2020 to 2022"
"in34","Earnings of young people","trend_moving_average","K02000001","country","United Kingdom","year",2023,"seb","Higher professional",,,,,"2014 to 2024",19.765,18.297,21.233,88,"Average","3-year moving average","2021 to 2023"
"in34","Earnings of young people","trend_moving_average","K02000001","country","United Kingdom","year",2024,"seb","Higher professional",,,,,"2014 to 2024",19.495,18,20.99,123,"Average","3-year moving average","2022 to 2024"
