"Ethnicity","Lower working (%)","Higher professional (%)"
"Bangladeshi",8.615,4.248
"Chinese",12.786,6.455
"Indian",9.687,4.806
"Pakistani",15.312,7.843
"Black African",17.734,9.212
"Black Caribbean",14.627,7.462
"Mixed",12.015,6.039
"White British",6.52,3.178
"White other",7.163,3.504
"Other",10.949,5.471
