ind_code,ind_name,area_type,area_code,area_name,time_period,seb,age,sex,category_type,category,category_type2,category2,value,sample_size,lci,uci,se,unit,value_note,level_with_text
IN14,Skills at age 15,NA,NA,OECD,2022,NA,15,NA,ISCED level,1,test,science,418,NA,NA,NA,NA,score,Averages for age 15 years PISA scale,Level 1
IN14,Skills at age 15,NA,NA,United Kingdom,2022,NA,15,NA,ISCED level,1,test,science,426,NA,NA,NA,NA,score,Averages for age 15 years PISA scale,Level 1
IN14,Skills at age 15,NA,NA,OECD,2022,NA,15,NA,ISCED level,2,test,science,427,NA,NA,NA,NA,score,Averages for age 15 years PISA scale,Level 2
IN14,Skills at age 15,NA,NA,United Kingdom,2022,NA,15,NA,ISCED level,2,test,science,446,NA,NA,NA,NA,score,Averages for age 15 years PISA scale,Level 2
IN14,Skills at age 15,NA,NA,OECD,2022,NA,15,NA,ISCED level,3.3,test,science,455,NA,NA,NA,NA,score,Averages for age 15 years PISA scale,Level 3.3
IN14,Skills at age 15,NA,NA,United Kingdom,2022,NA,15,NA,ISCED level,3.3,test,science,481,NA,NA,NA,NA,score,Averages for age 15 years PISA scale,Level 3.3
IN14,Skills at age 15,NA,NA,OECD,2022,NA,15,NA,ISCED level,3.4,test,science,472,NA,NA,NA,NA,score,Averages for age 15 years PISA scale,Level 3.4
IN14,Skills at age 15,NA,NA,United Kingdom,2022,NA,15,NA,ISCED level,3.4,test,science,497,NA,NA,NA,NA,score,Averages for age 15 years PISA scale,Level 3.4
IN14,Skills at age 15,NA,NA,OECD,2022,NA,15,NA,ISCED level,4,test,science,476,NA,NA,NA,NA,score,Averages for age 15 years PISA scale,Level 4
IN14,Skills at age 15,NA,NA,United Kingdom,2022,NA,15,NA,ISCED level,4,test,science,498,NA,NA,NA,NA,score,Averages for age 15 years PISA scale,Level 4
IN14,Skills at age 15,NA,NA,OECD,2022,NA,15,NA,ISCED level,5,test,science,483,NA,NA,NA,NA,score,Averages for age 15 years PISA scale,Level 5
IN14,Skills at age 15,NA,NA,United Kingdom,2022,NA,15,NA,ISCED level,5,test,science,496,NA,NA,NA,NA,score,Averages for age 15 years PISA scale,Level 5
IN14,Skills at age 15,NA,NA,OECD,2022,NA,15,NA,ISCED level,6,test,science,508,NA,NA,NA,NA,score,Averages for age 15 years PISA scale,Level 6
IN14,Skills at age 15,NA,NA,United Kingdom,2022,NA,15,NA,ISCED level,6,test,science,532,NA,NA,NA,NA,score,Averages for age 15 years PISA scale,Level 6
IN14,Skills at age 15,NA,NA,OECD,2022,NA,15,NA,ISCED level,7,test,science,519,NA,NA,NA,NA,score,Averages for age 15 years PISA scale,Level 7
IN14,Skills at age 15,NA,NA,United Kingdom,2022,NA,15,NA,ISCED level,7,test,science,533,NA,NA,NA,NA,score,Averages for age 15 years PISA scale,Level 7
