Ethnicity,Degree (£),No degree (£)
Bangladeshi,11.83922944,8.883907498
Chinese,14.03162416,10.52903415
Indian,14.00149999,10.50642961
Pakistani,12.70436171,9.533084461
Black African,14.04645879,10.54016574
Black Caribbean,13.94510595,10.46411271
Mixed,13.88923204,10.42218611
White British,14.06673159,10.55537802
White other,13.88024528,10.41544263
Other,13.30878102,9.986627936
