Year,Lower level (below CSE grade 1) (£),"O level, GCSE and equivalent (£)",A level and equivalent (£),Further education below degree (£),First degree (£),Higher degree (£)
2020 to 2022,10.50201415,10.84726064,12.13936404,13.55957976,15.53253671,16.5512837
2019 to 2021,9.885484666,11.00414079,11.82791163,12.89915437,15.3541157,16.18517349
2018 to 2020,9.754089365,10.94696228,11.65972772,12.42478633,15.13652565,16.66909433
2017 to 2019,9.787719895,11.1126028,11.53311218,12.35020713,14.71766055,15.91410194
2016 to 2018,9.858875601,10.65434466,11.37305789,12.09935454,14.30728356,15.92272067
2015 to 2017,9.388688018,10.66030987,11.12007203,12.12453571,13.98353097,15.86669513
2014 to 2016,9.053958414,10.49270523,10.96168969,11.76191509,13.83973883,16.38300916
