Highest qualification,Men (£),Women (£)
Higher degree,16.16836947,14.46047989
First degree,14.69811762,13.0354502
Further education below degree,12.99813585,10.57642698
A level and equivalent,12.08849859,9.690115151
"O level, GCSE and equivalent",10.96538621,9.486949134
Lower level (below CSE grade 1),9.591341514,8.738056203
