"Ethnicity","Lower working (£)","Higher professional (£)"
"Bangladeshi",11.311,15.561
"Chinese",15.795,21.73
"Indian",14.242,19.594
"Pakistani",12.985,17.865
"Black African",14.31,19.687
"Black Caribbean",12.272,16.883
"Mixed",14.119,19.425
"White British",13.887,19.105
"White other",14.015,19.282
"Other",13.754,18.923
