"Socio-economic background","Disabled","","","Not disabled","",""
"","2014 to 2019 (£)","2020 to 2025 (£)","2014 to 2025 (combined) (£)","2014 to 2019 (£)","2020 to 2025 (£)","2014 to 2025 (combined) (£)"
"Higher professional","17.081","17.8","17.548","20.14","20.84","20.521"
"Lower professional","15.578","16.946","16.46","18.103","18.98","18.554"
"Intermediate","16.523","15.563","15.901","15.765","17.74","16.709"
"Higher working","12.9","14.785","13.98","15.144","16.539","15.775"
"Lower working","12.837","14.13","13.634","13.591","15.158","14.311"
