"Socio-economic background","Education and training (%)","Employment (%)","NEET (%)"
"Higher professional",32.777,57.321,9.902
"Lower professional",33.959,56.663,9.378
"Intermediate",31.322,55.798,12.879
"Higher working",30.1,54.52,15.381
"Lower working",34.198,40.646,25.156
