"Socio-economic background","Sex","Education and training","","Employment","","NEET",""
"","","2014-2019 (%)","2020-2025 (%)","2014-2019 (%)","2020-2025 (%)","2014-2019 (%)","2020-2025 (%)"
"Higher professional","Men","36.255","35.549","54.455","53.668","9.29","10.784"
"","Women","35.9","38.092","55.999","53.955","8.101","7.953"
"Lower professional","Men","30.627","30.837","58.231","57.005","11.142","12.158"
"","Women","30.219","34.13","60.184","55.777","9.597","10.093"
"Intermediate","Men","28.202","31.259","60.322","54.852","11.475","13.888"
"","Women","27.183","30.572","59.95","59.084","12.866","10.344"
"Higher working","Men","27.37","28.462","57.809","56.795","14.821","14.743"
"","Women","27.825","29.959","57.111","55.314","15.065","14.727"
"Lower working","Men","29.735","34.44","49.073","42.027","21.192","23.532"
"","Women","30.234","31.153","47.522","48.101","22.244","20.746"
