"measure_code","measure_title","chart_type","area_code","area_type","area_name","primary_split_type","primary_split_value","secondary_split_type","secondary_split_value","tertiary_split_type","tertiary_split_value","fourth_split_type","fourth_split_value","time_period","value","lci","uci","sample_size","unit","value_note","average_window"
"in21","Destinations following the end of compulsory full-time education","trend_moving_average","K02000001","country","United Kingdom","year",2024,"seb","Intermediate","neet","neet",,,"2014-2025",12.266,10.406,14.304,637,"Average","3-year moving average","2022 to 2024"
"in21","Destinations following the end of compulsory full-time education","trend_moving_average","K02000001","country","United Kingdom","year",2025,"seb","Intermediate","neet","neet",,,"2014-2025",13.011,11.179,15.16,667,"Average","3-year moving average","2023 to 2025"
"in21","Destinations following the end of compulsory full-time education","trend_moving_average","K02000001","country","United Kingdom","year",2016,"seb","Lower professional","neet","neet",,,"2014-2025",10.15,8.583,11.929,1346,"Average","3-year moving average","2014 to 2016"
"in21","Destinations following the end of compulsory full-time education","trend_moving_average","K02000001","country","United Kingdom","year",2017,"seb","Lower professional","neet","neet",,,"2014-2025",9.914,8.378,11.694,1287,"Average","3-year moving average","2015 to 2017"
"in21","Destinations following the end of compulsory full-time education","trend_moving_average","K02000001","country","United Kingdom","year",2018,"seb","Lower professional","neet","neet",,,"2014-2025",10.423,8.814,12.243,1205,"Average","3-year moving average","2016 to 2018"
"in21","Destinations following the end of compulsory full-time education","trend_moving_average","K02000001","country","United Kingdom","year",2019,"seb","Lower professional","neet","neet",,,"2014-2025",10.641,9.001,12.468,1171,"Average","3-year moving average","2017 to 2019"
"in21","Destinations following the end of compulsory full-time education","trend_moving_average","K02000001","country","United Kingdom","year",2020,"seb","Lower professional","neet","neet",,,"2014-2025",11.127,9.523,12.997,1096,"Average","3-year moving average","2018 to 2020"
"in21","Destinations following the end of compulsory full-time education","trend_moving_average","K02000001","country","United Kingdom","year",2021,"seb","Lower professional","neet","neet",,,"2014-2025",10.933,9.31,12.726,1128,"Average","3-year moving average","2019 to 2021"
"in21","Destinations following the end of compulsory full-time education","trend_moving_average","K02000001","country","United Kingdom","year",2022,"seb","Lower professional","neet","neet",,,"2014-2025",10.754,9.142,12.557,1017,"Average","3-year moving average","2020 to 2022"
"in21","Destinations following the end of compulsory full-time education","trend_moving_average","K02000001","country","United Kingdom","year",2023,"seb","Lower professional","neet","neet",,,"2014-2025",10.969,9.327,12.927,839,"Average","3-year moving average","2021 to 2023"
"in21","Destinations following the end of compulsory full-time education","trend_moving_average","K02000001","country","United Kingdom","year",2024,"seb","Lower professional","neet","neet",,,"2014-2025",11.885,10.194,13.852,715,"Average","3-year moving average","2022 to 2024"
"in21","Destinations following the end of compulsory full-time education","trend_moving_average","K02000001","country","United Kingdom","year",2025,"seb","Lower professional","neet","neet",,,"2014-2025",11.501,9.894,13.371,828,"Average","3-year moving average","2023 to 2025"
"in21","Destinations following the end of compulsory full-time education","trend_moving_average","K02000001","country","United Kingdom","year",2016,"seb","Higher professional","neet","neet",,,"2014-2025",8.511,6.942,10.342,1129,"Average","3-year moving average","2014 to 2016"
"in21","Destinations following the end of compulsory full-time education","trend_moving_average","K02000001","country","United Kingdom","year",2017,"seb","Higher professional","neet","neet",,,"2014-2025",8.642,7.073,10.445,1123,"Average","3-year moving average","2015 to 2017"
"in21","Destinations following the end of compulsory full-time education","trend_moving_average","K02000001","country","United Kingdom","year",2018,"seb","Higher professional","neet","neet",,,"2014-2025",8.546,7.022,10.372,1086,"Average","3-year moving average","2016 to 2018"
"in21","Destinations following the end of compulsory full-time education","trend_moving_average","K02000001","country","United Kingdom","year",2019,"seb","Higher professional","neet","neet",,,"2014-2025",8.958,7.382,10.828,1045,"Average","3-year moving average","2017 to 2019"
"in21","Destinations following the end of compulsory full-time education","trend_moving_average","K02000001","country","United Kingdom","year",2020,"seb","Higher professional","neet","neet",,,"2014-2025",9.394,7.814,11.19,1022,"Average","3-year moving average","2018 to 2020"
"in21","Destinations following the end of compulsory full-time education","trend_moving_average","K02000001","country","United Kingdom","year",2021,"seb","Higher professional","neet","neet",,,"2014-2025",9.75,8.201,11.544,1098,"Average","3-year moving average","2019 to 2021"
"in21","Destinations following the end of compulsory full-time education","trend_moving_average","K02000001","country","United Kingdom","year",2022,"seb","Higher professional","neet","neet",,,"2014-2025",9.705,8.209,11.447,1050,"Average","3-year moving average","2020 to 2022"
"in21","Destinations following the end of compulsory full-time education","trend_moving_average","K02000001","country","United Kingdom","year",2023,"seb","Higher professional","neet","neet",,,"2014-2025",9.291,7.786,11.017,897,"Average","3-year moving average","2021 to 2023"
