"Year","England (%)","Scotland (%)","Wales (%)","Northern Ireland (%)","United Kingdom (%)"
2024,83,76,72,93,82
2023,77,70,63,91,76
2022,70,62,51,85,69
2021,45,50,35,74,46
2020,25,46,18,54,27
