"Ethnicity","Lower working (%)","Higher professional (%)"
"Bangladeshi",32.007,78.197
"Chinese",58.186,91.381
"Indian",49.233,88.079
"Pakistani",25.87,72.669
"Black African",31.893,78.107
"Black Caribbean",19.044,64.186
"Mixed",29.775,76.361
"White British",17.879,62.388
"White other",24.127,70.784
"Other",29.225,75.881
