"measure_code","measure_title","chart_type","area_code","area_type","area_name","primary_split_type","primary_split_value","secondary_split_type","secondary_split_value","tertiary_split_type","tertiary_split_value","fourth_split_type","fourth_split_value","time_period","value","lci","uci","sample_size","unit","value_note","seb_three_cat"
"dr32","Youth unemployment","trend","K02000001","country","United Kingdom","unemp_binary","Unemployed","year","2014",,,,,"2014-2024",17.485,16.53,18.486,5896,"Percent",,
"dr32","Youth unemployment","trend","K02000001","country","United Kingdom","unemp_binary","Unemployed","year","2015",,,,,"2014-2024",15.289,14.363,16.253,5679,"Percent",,
"dr32","Youth unemployment","trend","K02000001","country","United Kingdom","unemp_binary","Unemployed","year","2016",,,,,"2014-2024",14.352,13.422,15.338,5246,"Percent",,
"dr32","Youth unemployment","trend","K02000001","country","United Kingdom","unemp_binary","Unemployed","year","2017",,,,,"2014-2024",13.195,12.268,14.185,4895,"Percent",,
"dr32","Youth unemployment","trend","K02000001","country","United Kingdom","unemp_binary","Unemployed","year","2018",,,,,"2014-2024",12.331,11.408,13.321,4646,"Percent",,
"dr32","Youth unemployment","trend","K02000001","country","United Kingdom","unemp_binary","Unemployed","year","2019",,,,,"2014-2024",13.11,12.139,14.143,4455,"Percent",,
"dr32","Youth unemployment","trend","K02000001","country","United Kingdom","unemp_binary","Unemployed","year","2020",,,,,"2014-2024",15.925,14.694,17.247,3233,"Percent",,
"dr32","Youth unemployment","trend","K02000001","country","United Kingdom","unemp_binary","Unemployed","year","2021",,,,,"2014-2024",13.07,12.047,14.154,4026,"Percent",,
"dr32","Youth unemployment","trend","K02000001","country","United Kingdom","unemp_binary","Unemployed","year","2022",,,,,"2014-2024",11.136,10.056,12.333,3024,"Percent",,
"dr32","Youth unemployment","trend","K02000001","country","United Kingdom","unemp_binary","Unemployed","year","2023",,,,,"2014-2024",13.101,11.612,14.694,1904,"Percent",,
"dr32","Youth unemployment","trend","K02000001","country","United Kingdom","unemp_binary","Unemployed","year","2024",,,,,"2014-2024",15.957,14.583,17.399,2666,"Percent",,
