"Year","Percentage (%)"
"2024",15.957
"2023",13.101
"2022",11.136
"2021",13.07
"2020",15.925
"2019",13.11
"2018",12.331
"2017",13.195
"2016",14.352
"2015",15.289
"2014",17.485
