Region,Index of 'conditions of childhood',Group
South Tyneside,-0.71627576,Middle Group
Southampton,-0.324952603,Middle Group
Southend-on-Sea,0.164652209,Middle Group
Southwark,0.697574227,Middle Group
St Helens,-0.258463964,Middle Group
Staffordshire county council,0.290946534,Middle Group
Stirling,1.370963322,Favourable
Stockport,1.202519736,Favourable
Stockton-on-Tees,-0.60059962,Middle Group
Stoke-on-Trent,-1.808759759,Least Favourable
Suffolk county council,-0.138388843,Middle Group
Sunderland,-1.405854136,Unfavourable
Surrey county council,1.882745678,Most Favourable
Sutton,1.550711433,Favourable
Swansea,-0.244399781,Middle Group
Swindon,0.284740543,Middle Group
Tameside,-0.762532339,Middle Group
Telford and Wrekin,-0.609693585,Middle Group
Thurrock,-0.082248465,Middle Group
Torbay,-0.43363904,Middle Group
Torfaen,-1.132587102,Unfavourable
Tower Hamlets,-1.490300542,Unfavourable
Trafford,1.867973769,Most Favourable
Vale of Glamorgan,1.063039154,Favourable
Wakefield,-0.886650322,Middle Group
Walsall,-1.434762083,Unfavourable
Waltham Forest,-0.032335376,Middle Group
Wandsworth,2.065734189,Most Favourable
Warrington,0.729663817,Middle Group
Warwickshire county council,0.888500468,Middle Group
West Berkshire,1.640044865,Favourable
West Dunbartonshire,-1.190439447,Unfavourable
West Lothian,-0.437348245,Middle Group
West Northamptonshire,0.540236183,Middle Group
West Sussex county council,0.822365926,Middle Group
Westminster,0.995358036,Middle Group
Wigan,-0.256246274,Middle Group
Wiltshire,1.051761446,Favourable
Windsor and Maidenhead,2.394572112,Most Favourable
Wirral,0.427345605,Middle Group
Wokingham,2.386204151,Most Favourable
Wolverhampton,-1.62731579,Unfavourable
Worcestershire county council,0.35110984,Middle Group
Wrexham,-0.311289375,Middle Group
York,0.914626515,Middle Group
