Region,Percentage (%)
Bedfordshire and Hertfordshire,12.16162834
"Berkshire, Buckinghamshire and Oxfordshire",11.53366246
Cheshire,10.18847315
Cornwall and Isles of Scilly,12.84890806
Cumbria,13.12294018
Derbyshire and Nottinghamshire,14.09607184
Devon,11.57486538
Dorset and Somerset,12.39958641
East Anglia,13.9818566
East Wales,13.6702701
East Yorkshire and Northern Lincolnshire,19.20967383
Eastern Scotland,11.88315795
Essex,11.78356832
"Gloucestershire, Wiltshire and Bath/Bristol area",11.20289182
Greater Manchester,15.6362403
Hampshire and Isle of Wight,11.87853984
"Herefordshire, Worcestershire and Warwickshire",11.35770963
Highlands and Islands,7.096403572
Inner London - East,17.27215926
Inner London - West,14.63848296
Kent,13.5635583
Lancashire,11.87784185
"Leicestershire, Rutland and Northamptonshire",12.88852201
Lincolnshire,11.60496788
Merseyside,13.8553707
North Eastern Scotland,11.85592769
North Yorkshire,9.397511654
Northern Ireland,11.76887679
Northumberland and Tyne and Wear,16.03783893
Outer London - East and North East,21.22042955
Outer London - South,18.04256983
Outer London - West and North West,19.63873149
Shropshire and Staffordshire,14.06292727
South Yorkshire,15.23220835
Southern Scotland,13.82413798
"Surrey, East and West Sussex",12.10051985
Tees Valley and Durham,19.12618954
West Central Scotland,12.37727917
West Midlands,19.72988323
West Wales and The Valleys,14.59273099
West Yorkshire,15.06029648
