"Socio-economic background","Disability","Lower level (below CSE grade 1) (%)","O level, GCSE and equivalent (%)","A level and equivalent (%)","Further education below degree (%)","First degree (%)","Higher degree (%)"
"Higher professional","Yes",6.345,8.523,20.077,8.103,37.141,19.81
"","No",3.111,5.53,17.708,5.994,43.99,23.667
"Lower professional","Yes",10.591,12.663,26.869,9.954,28.573,11.349
"","No",4.944,8.072,22.895,7.762,39.246,17.081
"Intermediate","Yes",16.426,15.791,31.857,8.185,18.569,9.172
"","No",11.813,12.371,28.188,6.959,30.185,10.484
"Higher working","Yes",23.454,18.922,35.506,4.723,14.491,2.903
"","No",12.788,14.938,33.24,7.513,24.887,6.635
"Lower working","Yes",31.201,21.897,28.044,6.172,10.289,2.397
"","No",21.463,17.203,31.252,7.196,17.424,5.462
