"measure_code","measure_title","chart_type","area_code","area_type","area_name","primary_split_type","primary_split_value","secondary_split_type","secondary_split_value","tertiary_split_type","tertiary_split_value","fourth_split_type","fourth_split_value","time_period","value","lci","uci","sample_size","unit","value_note"
"in23","Highest qualification","disability_time_comparison","K02000001","country","United Kingdom","edu","A level and equivalent","seb","Lower working","disability","Yes",,,"2014 to 2019",28.044,25.066,31.231,845,"Percent",
"in23","Highest qualification","disability_time_comparison","K02000001","country","United Kingdom","edu","A level and equivalent","seb","Lower working","disability","No",,,"2014 to 2019",31.252,29.731,32.839,3480,"Percent",
"in23","Highest qualification","disability_time_comparison","K02000001","country","United Kingdom","edu","Further education below degree","seb","Higher professional","disability","Yes",,,"2014 to 2019",8.103,5.522,11.58,347,"Percent",
"in23","Highest qualification","disability_time_comparison","K02000001","country","United Kingdom","edu","Further education below degree","seb","Higher professional","disability","No",,,"2014 to 2019",5.994,5.179,6.9,3042,"Percent",
"in23","Highest qualification","disability_time_comparison","K02000001","country","United Kingdom","edu","Further education below degree","seb","Lower professional","disability","Yes",,,"2014 to 2019",9.954,7.425,12.94,487,"Percent",
"in23","Highest qualification","disability_time_comparison","K02000001","country","United Kingdom","edu","Further education below degree","seb","Lower professional","disability","No",,,"2014 to 2019",7.762,6.91,8.68,3626,"Percent",
"in23","Highest qualification","disability_time_comparison","K02000001","country","United Kingdom","edu","Further education below degree","seb","Intermediate","disability","Yes",,,"2014 to 2019",8.185,6.191,10.779,597,"Percent",
"in23","Highest qualification","disability_time_comparison","K02000001","country","United Kingdom","edu","Further education below degree","seb","Intermediate","disability","No",,,"2014 to 2019",6.959,6.238,7.776,4348,"Percent",
"in23","Highest qualification","disability_time_comparison","K02000001","country","United Kingdom","edu","Further education below degree","seb","Higher working","disability","Yes",,,"2014 to 2019",4.723,3.143,6.881,555,"Percent",
"in23","Highest qualification","disability_time_comparison","K02000001","country","United Kingdom","edu","Further education below degree","seb","Higher working","disability","No",,,"2014 to 2019",7.513,6.676,8.431,3583,"Percent",
"in23","Highest qualification","disability_time_comparison","K02000001","country","United Kingdom","edu","Further education below degree","seb","Lower working","disability","Yes",,,"2014 to 2019",6.172,4.672,8.047,845,"Percent",
"in23","Highest qualification","disability_time_comparison","K02000001","country","United Kingdom","edu","Further education below degree","seb","Lower working","disability","No",,,"2014 to 2019",7.196,6.359,8.105,3480,"Percent",
"in23","Highest qualification","disability_time_comparison","K02000001","country","United Kingdom","edu","First degree","seb","Higher professional","disability","Yes",,,"2014 to 2019",37.141,32.119,42.522,347,"Percent",
"in23","Highest qualification","disability_time_comparison","K02000001","country","United Kingdom","edu","First degree","seb","Higher professional","disability","No",,,"2014 to 2019",43.99,42.213,45.771,3042,"Percent",
"in23","Highest qualification","disability_time_comparison","K02000001","country","United Kingdom","edu","First degree","seb","Lower professional","disability","Yes",,,"2014 to 2019",28.573,24.614,32.815,487,"Percent",
"in23","Highest qualification","disability_time_comparison","K02000001","country","United Kingdom","edu","First degree","seb","Lower professional","disability","No",,,"2014 to 2019",39.246,37.654,40.858,3626,"Percent",
"in23","Highest qualification","disability_time_comparison","K02000001","country","United Kingdom","edu","First degree","seb","Intermediate","disability","Yes",,,"2014 to 2019",18.569,15.599,22,597,"Percent",
"in23","Highest qualification","disability_time_comparison","K02000001","country","United Kingdom","edu","First degree","seb","Intermediate","disability","No",,,"2014 to 2019",30.185,28.817,31.568,4348,"Percent",
"in23","Highest qualification","disability_time_comparison","K02000001","country","United Kingdom","edu","First degree","seb","Higher working","disability","Yes",,,"2014 to 2019",14.491,11.655,17.678,555,"Percent",
"in23","Highest qualification","disability_time_comparison","K02000001","country","United Kingdom","edu","First degree","seb","Higher working","disability","No",,,"2014 to 2019",24.887,23.493,26.352,3583,"Percent",
"in23","Highest qualification","disability_time_comparison","K02000001","country","United Kingdom","edu","First degree","seb","Lower working","disability","Yes",,,"2014 to 2019",10.289,8.369,12.592,845,"Percent",
"in23","Highest qualification","disability_time_comparison","K02000001","country","United Kingdom","edu","First degree","seb","Lower working","disability","No",,,"2014 to 2019",17.424,16.176,18.724,3480,"Percent",
"in23","Highest qualification","disability_time_comparison","K02000001","country","United Kingdom","edu","Higher degree","seb","Higher professional","disability","Yes",,,"2014 to 2019",19.81,15.894,24.558,347,"Percent",
"in23","Highest qualification","disability_time_comparison","K02000001","country","United Kingdom","edu","Higher degree","seb","Higher professional","disability","No",,,"2014 to 2019",23.667,22.176,25.228,3042,"Percent",
"in23","Highest qualification","disability_time_comparison","K02000001","country","United Kingdom","edu","Higher degree","seb","Lower professional","disability","Yes",,,"2014 to 2019",11.349,8.689,14.526,487,"Percent",
"in23","Highest qualification","disability_time_comparison","K02000001","country","United Kingdom","edu","Higher degree","seb","Lower professional","disability","No",,,"2014 to 2019",17.081,15.868,18.345,3626,"Percent",
"in23","Highest qualification","disability_time_comparison","K02000001","country","United Kingdom","edu","Higher degree","seb","Intermediate","disability","Yes",,,"2014 to 2019",9.172,7.073,11.893,597,"Percent",
"in23","Highest qualification","disability_time_comparison","K02000001","country","United Kingdom","edu","Higher degree","seb","Intermediate","disability","No",,,"2014 to 2019",10.484,9.6,11.445,4348,"Percent",
"in23","Highest qualification","disability_time_comparison","K02000001","country","United Kingdom","edu","Higher degree","seb","Higher working","disability","Yes",,,"2014 to 2019",2.903,1.713,4.741,555,"Percent",
"in23","Highest qualification","disability_time_comparison","K02000001","country","United Kingdom","edu","Higher degree","seb","Higher working","disability","No",,,"2014 to 2019",6.635,5.859,7.52,3583,"Percent",
"in23","Highest qualification","disability_time_comparison","K02000001","country","United Kingdom","edu","Higher degree","seb","Lower working","disability","Yes",,,"2014 to 2019",2.397,1.491,3.699,845,"Percent",
"in23","Highest qualification","disability_time_comparison","K02000001","country","United Kingdom","edu","Higher degree","seb","Lower working","disability","No",,,"2014 to 2019",5.462,4.739,6.28,3480,"Percent",
