"measure_code","measure_title","chart_type","area_code","area_type","area_name","primary_split_type","primary_split_value","secondary_split_type","secondary_split_value","tertiary_split_type","tertiary_split_value","fourth_split_type","fourth_split_value","time_period","value","lci","uci","sample_size","unit","value_note","average_window"
"in23","Highest qualification","trend_moving_average","K02000001","country","United Kingdom","year",2020,"seb","Lower working","highest_qualification","A level and equivalent",,,"2014-2025",31.214,27.772,34.928,546,"Average","3-year moving average","2018 to 2020"
"in23","Highest qualification","trend_moving_average","K02000001","country","United Kingdom","year",2021,"seb","Lower working","highest_qualification","A level and equivalent",,,"2014-2025",31.106,27.593,34.771,505,"Average","3-year moving average","2019 to 2021"
"in23","Highest qualification","trend_moving_average","K02000001","country","United Kingdom","year",2022,"seb","Lower working","highest_qualification","A level and equivalent",,,"2014-2025",29.992,26.428,33.758,414,"Average","3-year moving average","2020 to 2022"
"in23","Highest qualification","trend_moving_average","K02000001","country","United Kingdom","year",2023,"seb","Lower working","highest_qualification","A level and equivalent",,,"2014-2025",25.225,21.901,28.798,365,"Average","3-year moving average","2021 to 2023"
"in23","Highest qualification","trend_moving_average","K02000001","country","United Kingdom","year",2024,"seb","Lower working","highest_qualification","A level and equivalent",,,"2014-2025",24.648,21.395,28.284,310,"Average","3-year moving average","2022 to 2024"
"in23","Highest qualification","trend_moving_average","K02000001","country","United Kingdom","year",2025,"seb","Lower working","highest_qualification","A level and equivalent",,,"2014-2025",24.31,21.108,27.823,340,"Average","3-year moving average","2023 to 2025"
"in23","Highest qualification","trend_moving_average","K02000001","country","United Kingdom","year",2016,"seb","Lower working","highest_qualification","Further education below degree",,,"2014-2025",7.021,5.393,9.169,786,"Average","3-year moving average","2014 to 2016"
"in23","Highest qualification","trend_moving_average","K02000001","country","United Kingdom","year",2017,"seb","Lower working","highest_qualification","Further education below degree",,,"2014-2025",6.916,5.251,8.977,756,"Average","3-year moving average","2015 to 2017"
"in23","Highest qualification","trend_moving_average","K02000001","country","United Kingdom","year",2018,"seb","Lower working","highest_qualification","Further education below degree",,,"2014-2025",6.5,4.908,8.64,698,"Average","3-year moving average","2016 to 2018"
"in23","Highest qualification","trend_moving_average","K02000001","country","United Kingdom","year",2019,"seb","Lower working","highest_qualification","Further education below degree",,,"2014-2025",6.91,5.232,9.091,666,"Average","3-year moving average","2017 to 2019"
"in23","Highest qualification","trend_moving_average","K02000001","country","United Kingdom","year",2020,"seb","Lower working","highest_qualification","Further education below degree",,,"2014-2025",6.72,5,8.966,546,"Average","3-year moving average","2018 to 2020"
"in23","Highest qualification","trend_moving_average","K02000001","country","United Kingdom","year",2021,"seb","Lower working","highest_qualification","Further education below degree",,,"2014-2025",6.055,4.397,8.197,505,"Average","3-year moving average","2019 to 2021"
