"measure_code","measure_title","chart_type","area_code","area_type","area_name","primary_split_type","primary_split_value","secondary_split_type","secondary_split_value","tertiary_split_type","tertiary_split_value","fourth_split_type","fourth_split_value","time_period","value","lci","uci","sample_size","unit","value_note","average_window"
"in23","Highest qualification","trend_moving_average","K02000001","country","United Kingdom","year",2016,"seb","Higher professional","highest_qualification","Lower level (below CSE grade 1)",,,"2014-2025",4.431,2.976,6.521,561,"Average","3-year moving average","2014 to 2016"
"in23","Highest qualification","trend_moving_average","K02000001","country","United Kingdom","year",2017,"seb","Higher professional","highest_qualification","Lower level (below CSE grade 1)",,,"2014-2025",3.59,2.344,5.427,579,"Average","3-year moving average","2015 to 2017"
"in23","Highest qualification","trend_moving_average","K02000001","country","United Kingdom","year",2018,"seb","Higher professional","highest_qualification","Lower level (below CSE grade 1)",,,"2014-2025",2.969,1.816,4.606,561,"Average","3-year moving average","2016 to 2018"
"in23","Highest qualification","trend_moving_average","K02000001","country","United Kingdom","year",2019,"seb","Higher professional","highest_qualification","Lower level (below CSE grade 1)",,,"2014-2025",2.54,1.51,4.056,574,"Average","3-year moving average","2017 to 2019"
"in23","Highest qualification","trend_moving_average","K02000001","country","United Kingdom","year",2020,"seb","Higher professional","highest_qualification","Lower level (below CSE grade 1)",,,"2014-2025",2.716,1.674,4.25,528,"Average","3-year moving average","2018 to 2020"
"in23","Highest qualification","trend_moving_average","K02000001","country","United Kingdom","year",2021,"seb","Higher professional","highest_qualification","Lower level (below CSE grade 1)",,,"2014-2025",3.104,2.037,4.726,545,"Average","3-year moving average","2019 to 2021"
"in23","Highest qualification","trend_moving_average","K02000001","country","United Kingdom","year",2022,"seb","Higher professional","highest_qualification","Lower level (below CSE grade 1)",,,"2014-2025",2.916,1.902,4.504,498,"Average","3-year moving average","2020 to 2022"
"in23","Highest qualification","trend_moving_average","K02000001","country","United Kingdom","year",2023,"seb","Higher professional","highest_qualification","Lower level (below CSE grade 1)",,,"2014-2025",2.958,1.879,4.544,426,"Average","3-year moving average","2021 to 2023"
"in23","Highest qualification","trend_moving_average","K02000001","country","United Kingdom","year",2024,"seb","Higher professional","highest_qualification","Lower level (below CSE grade 1)",,,"2014-2025",3.285,2.183,5.06,357,"Average","3-year moving average","2022 to 2024"
"in23","Highest qualification","trend_moving_average","K02000001","country","United Kingdom","year",2025,"seb","Higher professional","highest_qualification","Lower level (below CSE grade 1)",,,"2014-2025",3.345,2.228,5.07,399,"Average","3-year moving average","2023 to 2025"
