"Socio-economic background","Lower level (below CSE grade 1) (%)","O level, GCSE and equivalent (%)","A level and equivalent (%)","Further education below degree (%)","First degree (%)","Higher degree (%)"
"Higher professional",2.818,5.574,16.168,3.456,46.05,25.933
"Lower professional",3.349,8.678,21.241,6.718,38.346,21.668
"Intermediate",9.879,11.953,21.504,5.55,30.74,20.374
"Higher working",11.444,17.79,25.492,5.658,27.668,11.949
"Lower working",17.375,17.188,23.523,7.482,23.152,11.28
