"Region","Difference compared to average"
"Bedfordshire and Hertfordshire",1.586
"Berkshire, Buckinghamshire and Oxfordshire",2.265
"Cheshire",6.337
"Cornwall and Isles of Scilly",-0.025
"Cumbria",-1.865
"Derbyshire and Nottinghamshire",-3.561
"Devon",-1.128
"Dorset and Somerset",-1.527
"East Anglia",-3.505
"East Wales",-0.519
"East Yorkshire and Northern Lincolnshire",-3.021
"Eastern Scotland",-2.407
"Essex",-0.62
"Gloucestershire, Wiltshire and Bath/Bristol area",-1.462
"Greater Manchester",-3.743
"Hampshire and Isle of Wight",-5.967
"Herefordshire, Worcestershire and Warwickshire",1.735
"Highlands and Islands",0.446
"Inner London - East",13.26
"Inner London - West",11.413
"Kent",-1.774
"Lancashire",0.553
"Leicestershire, Rutland and Northamptonshire",-0.51
"Lincolnshire",-6.88
"Merseyside",-0.066
"North Eastern Scotland",-2.146
"North Yorkshire",4.851
"Northern Ireland",-2.025
"Northumberland, and Tyne and Wear",-0.785
"Outer London - East and North East",6.025
"Outer London - South",0.527
"Outer London - West and North West",11.045
"Shropshire and Staffordshire",0.991
"South Yorkshire",-4.587
"Southern Scotland",-6.62
"Surrey, East and West Sussex",0.173
"Tees Valley and Durham",0.336
"West Central Scotland",-6.019
"West Midlands",-0.971
"West Wales and The Valleys",-0.784
"West Yorkshire",0.977
