"Socio-economic background","Disability","Lower level (below CSE grade 1) (%)","O level, GCSE and equivalent (%)","A level and equivalent (%)","Further education below degree (%)","First degree (%)","Higher degree (%)"
"Higher professional","Yes",6.053,8.074,20.749,6.223,35.705,23.196
"","No",2.561,4.542,13.947,4.157,48.762,26.031
"Lower professional","Yes",7.804,13.299,21.395,5.024,32.544,19.934
"","No",3.299,6.89,19.674,6.053,42.373,21.711
"Intermediate","Yes",10.883,19.195,25.278,6.168,25.741,12.735
"","No",7.047,9.332,24.282,7.003,35.581,16.756
"Higher working","Yes",15.926,23.313,22.218,8.034,25.269,5.24
"","No",8.487,13.941,27.526,8.131,28.066,13.848
"Lower working","Yes",23.648,27.002,23.704,7.04,14.604,4.003
"","No",13.542,17.098,28.663,6.464,25.821,8.412
