"Ethnicity","Degree (£)","No degree (£)"
"Bangladeshi",12.205,9.348
"Chinese",15.857,12.146
"Indian",15.34,11.75
"Pakistani",14.662,11.231
"Black African",15.313,11.73
"Black Caribbean",14.382,11.016
"Mixed",15.855,12.144
"White British",16.089,12.323
"White other",15.746,12.061
"Other",15.144,11.6
