"Highest qualification","Women (£)","Men (£)"
"Higher degree",16.354,18.115
"First degree",14.658,16.68
"Further education below degree",12.223,14.732
"A level and equivalent",11.208,13.939
"O level, GCSE and equivalent",11.229,12.707
"Lower level (below CSE grade 1)",10.436,11.024
